ticker,cik,metric,value,date,filed_date,form,fiscal_year,fiscal_period,frame
AAPL,0000320193,CashAndCashEquivalentsAtCarryingValue,6392000000.0,2006-09-30,2009-10-27,10-K,2009,FY,
AAPL,0000320193,StockholdersEquity,9984000000.0,2006-09-30,2009-10-27,10-K,2009,FY,
AAPL,0000320193,GrossProfit,8154000000.0,2007-09-29,2009-10-27,10-K,2009,FY,
AAPL,0000320193,OperatingIncomeLoss,4409000000.0,2007-09-29,2009-10-27,10-K,2009,FY,
AAPL,0000320193,NetIncomeLoss,3496000000.0,2007-09-29,2009-10-27,10-K,2009,FY,
AAPL,0000320193,EarningsPerShareBasic,4.04,2007-09-29,2009-10-27,10-K,2009,FY,
AAPL,0000320193,EarningsPerShareDiluted,3.93,2007-09-29,2009-10-27,10-K,2009,FY,
AAPL,0000320193,NetCashProvidedByUsedInOperatingActivities,5470000000.0,2007-09-29,2009-10-27,10-K,2009,FY,
AAPL,0000320193,NetCashProvidedByUsedInInvestingActivities,-3249000000.0,2007-09-29,2009-10-27,10-K,2009,FY,
AAPL,0000320193,NetCashProvidedByUsedInFinancingActivities,739000000.0,2007-09-29,2009-10-27,10-K,2009,FY,
AAPL,0000320193,ResearchAndDevelopmentExpense,782000000.0,2007-09-29,2009-10-27,10-K,2009,FY,
AAPL,0000320193,WeightedAverageNumberOfSharesOutstandingBasic,864595000.0,2007-09-29,2009-10-27,10-K,2009,FY,
AAPL,0000320193,WeightedAverageNumberOfDilutedSharesOutstanding,889292000.0,2007-09-29,2009-10-27,10-K,2009,FY,
AAPL,0000320193,CashAndCashEquivalentsAtCarryingValue,9352000000.0,2007-09-29,2010-10-27,10-K,2010,FY,CY2007Q3I
AAPL,0000320193,StockholdersEquity,14531000000.0,2007-09-29,2010-10-27,10-K,2010,FY,CY2007Q3I
AAPL,0000320193,GrossProfit,2600000000.0,2008-06-28,2009-07-22,10-Q,2009,Q3,CY2008Q2
AAPL,0000320193,OperatingIncomeLoss,1392000000.0,2008-06-28,2009-07-22,10-Q,2009,Q3,CY2008Q2
AAPL,0000320193,NetIncomeLoss,1072000000.0,2008-06-28,2009-07-22,10-Q,2009,Q3,CY2008Q2
AAPL,0000320193,EarningsPerShareBasic,1.21,2008-06-28,2009-07-22,10-Q,2009,Q3,CY2008Q2
AAPL,0000320193,EarningsPerShareDiluted,1.19,2008-06-28,2009-07-22,10-Q,2009,Q3,CY2008Q2
AAPL,0000320193,CashAndCashEquivalentsAtCarryingValue,9373000000.0,2008-06-28,2009-07-22,10-Q,2009,Q3,CY2008Q2I
AAPL,0000320193,NetCashProvidedByUsedInOperatingActivities,5301000000.0,2008-06-28,2009-07-22,10-Q,2009,Q3,
AAPL,0000320193,NetCashProvidedByUsedInInvestingActivities,-6196000000.0,2008-06-28,2009-07-22,10-Q,2009,Q3,
AAPL,0000320193,NetCashProvidedByUsedInFinancingActivities,916000000.0,2008-06-28,2009-07-22,10-Q,2009,Q3,
AAPL,0000320193,ResearchAndDevelopmentExpense,292000000.0,2008-06-28,2009-07-22,10-Q,2009,Q3,CY2008Q2
AAPL,0000320193,WeightedAverageNumberOfSharesOutstandingBasic,883738000.0,2008-06-28,2009-07-22,10-Q,2009,Q3,CY2008Q2
AAPL,0000320193,WeightedAverageNumberOfDilutedSharesOutstanding,903167000.0,2008-06-28,2009-07-22,10-Q,2009,Q3,CY2008Q2
AAPL,0000320193,AssetsCurrent,32311000000.0,2008-09-27,2009-10-27,10-K,2009,FY,
AAPL,0000320193,Liabilities,18542000000.0,2008-09-27,2009-10-27,10-K,2009,FY,
AAPL,0000320193,LiabilitiesCurrent,14092000000.0,2008-09-27,2009-10-27,10-K,2009,FY,
AAPL,0000320193,GrossProfit,13197000000.0,2008-09-27,2010-10-27,10-K,2010,FY,CY2008
AAPL,0000320193,OperatingIncomeLoss,8327000000.0,2008-09-27,2010-10-27,10-K,2010,FY,CY2008
AAPL,0000320193,NetIncomeLoss,6119000000.0,2008-09-27,2010-10-27,10-K,2010,FY,CY2008
AAPL,0000320193,EarningsPerShareBasic,6.94,2008-09-27,2010-10-27,10-K,2010,FY,CY2008
AAPL,0000320193,EarningsPerShareDiluted,6.78,2008-09-27,2010-10-27,10-K,2010,FY,CY2008
AAPL,0000320193,Assets,36171000000.0,2008-09-27,2010-10-27,10-K,2010,FY,CY2008Q3I
AAPL,0000320193,NetCashProvidedByUsedInOperatingActivities,9596000000.0,2008-09-27,2010-10-27,10-K,2010,FY,CY2008
AAPL,0000320193,NetCashProvidedByUsedInInvestingActivities,-8189000000.0,2008-09-27,2010-10-27,10-K,2010,FY,CY2008
AAPL,0000320193,NetCashProvidedByUsedInFinancingActivities,1116000000.0,2008-09-27,2010-10-27,10-K,2010,FY,CY2008
AAPL,0000320193,ResearchAndDevelopmentExpense,1109000000.0,2008-09-27,2010-10-27,10-K,2010,FY,CY2008
AAPL,0000320193,WeightedAverageNumberOfSharesOutstandingBasic,881592000.0,2008-09-27,2010-10-27,10-K,2010,FY,CY2008
AAPL,0000320193,WeightedAverageNumberOfDilutedSharesOutstanding,902139000.0,2008-09-27,2010-10-27,10-K,2010,FY,CY2008
AAPL,0000320193,CashAndCashEquivalentsAtCarryingValue,11875000000.0,2008-09-27,2011-10-26,10-K,2011,FY,CY2008Q3I
AAPL,0000320193,StockholdersEquity,22297000000.0,2008-09-27,2011-10-26,10-K,2011,FY,CY2008Q3I
AAPL,0000320193,OperatingIncomeLoss,3101000000.0,2008-12-27,2010-01-25,10-Q,2010,Q1,CY2008Q4
AAPL,0000320193,CashAndCashEquivalentsAtCarryingValue,7236000000.0,2008-12-27,2010-01-25,10-Q,2010,Q1,CY2008Q4I
AAPL,0000320193,NetCashProvidedByUsedInOperatingActivities,3938000000.0,2008-12-27,2010-01-25,10-Q,2010,Q1,CY2008Q4
AAPL,0000320193,NetCashProvidedByUsedInInvestingActivities,-8639000000.0,2008-12-27,2010-01-25,10-Q,2010,Q1,CY2008Q4
AAPL,0000320193,NetCashProvidedByUsedInFinancingActivities,62000000.0,2008-12-27,2010-01-25,10-Q,2010,Q1,CY2008Q4
AAPL,0000320193,ResearchAndDevelopmentExpense,315000000.0,2008-12-27,2010-01-25,10-Q,2010,Q1,CY2008Q4
AAPL,0000320193,WeightedAverageNumberOfSharesOutstandingBasic,889142000.0,2008-12-27,2010-01-25,10-Q,2010,Q1,CY2008Q4
AAPL,0000320193,WeightedAverageNumberOfDilutedSharesOutstanding,901494000.0,2008-12-27,2010-01-25,10-Q,2010,Q1,CY2008Q4
AAPL,0000320193,GrossProfit,4507000000.0,2008-12-27,2010-10-27,10-K,2010,FY,CY2008Q4
AAPL,0000320193,NetIncomeLoss,2255000000.0,2008-12-27,2010-10-27,10-K,2010,FY,CY2008Q4
AAPL,0000320193,EarningsPerShareBasic,2.54,2008-12-27,2010-10-27,10-K,2010,FY,CY2008Q4
AAPL,0000320193,EarningsPerShareDiluted,2.5,2008-12-27,2010-10-27,10-K,2010,FY,CY2008Q4
AAPL,0000320193,OperatingIncomeLoss,2323000000.0,2009-03-28,2010-04-21,10-Q,2010,Q2,CY2009Q1
AAPL,0000320193,CashAndCashEquivalentsAtCarryingValue,4466000000.0,2009-03-28,2010-04-21,10-Q,2010,Q2,CY2009Q1I
AAPL,0000320193,NetCashProvidedByUsedInOperatingActivities,4779000000.0,2009-03-28,2010-04-21,10-Q,2010,Q2,
AAPL,0000320193,NetCashProvidedByUsedInInvestingActivities,-12324000000.0,2009-03-28,2010-04-21,10-Q,2010,Q2,
AAPL,0000320193,NetCashProvidedByUsedInFinancingActivities,136000000.0,2009-03-28,2010-04-21,10-Q,2010,Q2,
AAPL,0000320193,ResearchAndDevelopmentExpense,319000000.0,2009-03-28,2010-04-21,10-Q,2010,Q2,CY2009Q1
AAPL,0000320193,WeightedAverageNumberOfSharesOutstandingBasic,891180000.0,2009-03-28,2010-04-21,10-Q,2010,Q2,CY2009Q1
AAPL,0000320193,WeightedAverageNumberOfDilutedSharesOutstanding,902993000.0,2009-03-28,2010-04-21,10-Q,2010,Q2,CY2009Q1
AAPL,0000320193,GrossProfit,3627000000.0,2009-03-28,2010-10-27,10-K,2010,FY,CY2009Q1
AAPL,0000320193,NetIncomeLoss,1620000000.0,2009-03-28,2010-10-27,10-K,2010,FY,CY2009Q1
AAPL,0000320193,EarningsPerShareBasic,1.82,2009-03-28,2010-10-27,10-K,2010,FY,CY2009Q1
AAPL,0000320193,EarningsPerShareDiluted,1.79,2009-03-28,2010-10-27,10-K,2010,FY,CY2009Q1
AAPL,0000320193,Assets,48140000000.0,2009-06-27,2009-07-22,10-Q,2009,Q3,CY2009Q2I
AAPL,0000320193,AssetsCurrent,35170000000.0,2009-06-27,2009-07-22,10-Q,2009,Q3,CY2009Q2I
AAPL,0000320193,Liabilities,22252000000.0,2009-06-27,2009-07-22,10-Q,2009,Q3,CY2009Q2I
AAPL,0000320193,LiabilitiesCurrent,16661000000.0,2009-06-27,2009-07-22,10-Q,2009,Q3,CY2009Q2I
AAPL,0000320193,StockholdersEquity,25888000000.0,2009-06-27,2009-07-22,10-Q,2009,Q3,CY2009Q2I
AAPL,0000320193,OperatingIncomeLoss,2632000000.0,2009-06-27,2010-07-21,10-Q,2010,Q3,CY2009Q2
AAPL,0000320193,CashAndCashEquivalentsAtCarryingValue,5605000000.0,2009-06-27,2010-07-21,10-Q,2010,Q3,CY2009Q2I
AAPL,0000320193,NetCashProvidedByUsedInOperatingActivities,7049000000.0,2009-06-27,2010-07-21,10-Q,2010,Q3,
AAPL,0000320193,NetCashProvidedByUsedInInvestingActivities,-13663000000.0,2009-06-27,2010-07-21,10-Q,2010,Q3,
AAPL,0000320193,NetCashProvidedByUsedInFinancingActivities,344000000.0,2009-06-27,2010-07-21,10-Q,2010,Q3,
AAPL,0000320193,ResearchAndDevelopmentExpense,341000000.0,2009-06-27,2010-07-21,10-Q,2010,Q3,CY2009Q2
AAPL,0000320193,WeightedAverageNumberOfSharesOutstandingBasic,893712000.0,2009-06-27,2010-07-21,10-Q,2010,Q3,CY2009Q2
AAPL,0000320193,WeightedAverageNumberOfDilutedSharesOutstanding,909160000.0,2009-06-27,2010-07-21,10-Q,2010,Q3,CY2009Q2
AAPL,0000320193,GrossProfit,3983000000.0,2009-06-27,2010-10-27,10-K,2010,FY,CY2009Q2
AAPL,0000320193,NetIncomeLoss,1828000000.0,2009-06-27,2010-10-27,10-K,2010,FY,CY2009Q2
AAPL,0000320193,EarningsPerShareBasic,2.05,2009-06-27,2010-10-27,10-K,2010,FY,CY2009Q2
AAPL,0000320193,EarningsPerShareDiluted,2.01,2009-06-27,2010-10-27,10-K,2010,FY,CY2009Q2
AAPL,0000320193,AssetsCurrent,31555000000.0,2009-09-26,2010-10-27,10-K,2010,FY,CY2009Q3I
AAPL,0000320193,Cash,1139000000.0,2009-09-26,2010-10-27,10-K,2010,FY,CY2009Q3I
AAPL,0000320193,Liabilities,15861000000.0,2009-09-26,2010-10-27,10-K,2010,FY,CY2009Q3I
AAPL,0000320193,LiabilitiesCurrent,11506000000.0,2009-09-26,2010-10-27,10-K,2010,FY,CY2009Q3I
AAPL,0000320193,GrossProfit,17222000000.0,2009-09-26,2011-10-26,10-K,2011,FY,CY2009
AAPL,0000320193,OperatingIncomeLoss,11740000000.0,2009-09-26,2011-10-26,10-K,2011,FY,CY2009
AAPL,0000320193,NetIncomeLoss,8235000000.0,2009-09-26,2011-10-26,10-K,2011,FY,CY2009
AAPL,0000320193,EarningsPerShareBasic,9.22,2009-09-26,2011-10-26,10-K,2011,FY,CY2009
AAPL,0000320193,EarningsPerShareDiluted,9.08,2009-09-26,2011-10-26,10-K,2011,FY,CY2009
AAPL,0000320193,Assets,47501000000.0,2009-09-26,2011-10-26,10-K,2011,FY,CY2009Q3I
AAPL,0000320193,NetCashProvidedByUsedInOperatingActivities,10159000000.0,2009-09-26,2011-10-26,10-K,2011,FY,CY2009
AAPL,0000320193,NetCashProvidedByUsedInInvestingActivities,-17434000000.0,2009-09-26,2011-10-26,10-K,2011,FY,CY2009
AAPL,0000320193,NetCashProvidedByUsedInFinancingActivities,663000000.0,2009-09-26,2011-10-26,10-K,2011,FY,CY2009
AAPL,0000320193,ResearchAndDevelopmentExpense,1333000000.0,2009-09-26,2011-10-26,10-K,2011,FY,CY2009
AAPL,0000320193,WeightedAverageNumberOfSharesOutstandingBasic,893016000.0,2009-09-26,2011-10-26,10-K,2011,FY,CY2009
AAPL,0000320193,WeightedAverageNumberOfDilutedSharesOutstanding,907005000.0,2009-09-26,2011-10-26,10-K,2011,FY,CY2009
AAPL,0000320193,CashAndCashEquivalentsAtCarryingValue,5263000000.0,2009-09-26,2012-10-31,10-K,2012,FY,
AAPL,0000320193,StockholdersEquity,31640000000.0,2009-09-26,2012-10-31,10-K,2012,FY,
AAPL,0000320193,Assets,53926000000.0,2009-12-26,2010-01-25,10-Q,2010,Q1,CY2009Q4I
AAPL,0000320193,AssetsCurrent,33332000000.0,2009-12-26,2010-01-25,10-Q,2010,Q1,CY2009Q4I
AAPL,0000320193,Liabilities,18158000000.0,2009-12-26,2010-01-25,10-Q,2010,Q1,CY2009Q4I
AAPL,0000320193,LiabilitiesCurrent,13097000000.0,2009-12-26,2010-01-25,10-Q,2010,Q1,CY2009Q4I
AAPL,0000320193,StockholdersEquity,35768000000.0,2009-12-26,2010-01-25,10-Q,2010,Q1,CY2009Q4I
AAPL,0000320193,OperatingIncomeLoss,4725000000.0,2009-12-26,2011-01-19,10-Q,2011,Q1,CY2009Q4
AAPL,0000320193,CashAndCashEquivalentsAtCarryingValue,7609000000.0,2009-12-26,2011-01-19,10-Q,2011,Q1,CY2009Q4I
AAPL,0000320193,NetCashProvidedByUsedInOperatingActivities,5781000000.0,2009-12-26,2011-01-19,10-Q,2011,Q1,CY2009Q4
AAPL,0000320193,NetCashProvidedByUsedInInvestingActivities,-3958000000.0,2009-12-26,2011-01-19,10-Q,2011,Q1,CY2009Q4
AAPL,0000320193,NetCashProvidedByUsedInFinancingActivities,523000000.0,2009-12-26,2011-01-19,10-Q,2011,Q1,CY2009Q4
AAPL,0000320193,ResearchAndDevelopmentExpense,398000000.0,2009-12-26,2011-01-19,10-Q,2011,Q1,CY2009Q4
AAPL,0000320193,WeightedAverageNumberOfSharesOutstandingBasic,903542000.0,2009-12-26,2011-01-19,10-Q,2011,Q1,CY2009Q4
AAPL,0000320193,WeightedAverageNumberOfDilutedSharesOutstanding,919783000.0,2009-12-26,2011-01-19,10-Q,2011,Q1,CY2009Q4
AAPL,0000320193,GrossProfit,6411000000.0,2009-12-26,2011-10-26,10-K,2011,FY,CY2009Q4
AAPL,0000320193,NetIncomeLoss,3378000000.0,2009-12-26,2011-10-26,10-K,2011,FY,CY2009Q4
AAPL,0000320193,EarningsPerShareBasic,3.74,2009-12-26,2011-10-26,10-K,2011,FY,CY2009Q4
AAPL,0000320193,EarningsPerShareDiluted,3.67,2009-12-26,2011-10-26,10-K,2011,FY,CY2009Q4
AAPL,0000320193,Assets,57057000000.0,2010-03-27,2010-04-21,10-Q,2010,Q2,CY2010Q1I
AAPL,0000320193,AssetsCurrent,32336000000.0,2010-03-27,2010-04-21,10-Q,2010,Q2,CY2010Q1I
AAPL,0000320193,Liabilities,17709000000.0,2010-03-27,2010-04-21,10-Q,2010,Q2,CY2010Q1I
AAPL,0000320193,LiabilitiesCurrent,12229000000.0,2010-03-27,2010-04-21,10-Q,2010,Q2,CY2010Q1I
AAPL,0000320193,StockholdersEquity,39348000000.0,2010-03-27,2010-04-21,10-Q,2010,Q2,CY2010Q1I
AAPL,0000320193,OperatingIncomeLoss,3979000000.0,2010-03-27,2011-04-21,10-Q,2011,Q2,CY2010Q1
AAPL,0000320193,CashAndCashEquivalentsAtCarryingValue,10018000000.0,2010-03-27,2011-04-21,10-Q,2011,Q2,CY2010Q1I
AAPL,0000320193,NetCashProvidedByUsedInOperatingActivities,8111000000.0,2010-03-27,2011-04-21,10-Q,2011,Q2,
AAPL,0000320193,NetCashProvidedByUsedInInvestingActivities,-4041000000.0,2010-03-27,2011-04-21,10-Q,2011,Q2,
AAPL,0000320193,NetCashProvidedByUsedInFinancingActivities,685000000.0,2010-03-27,2011-04-21,10-Q,2011,Q2,
AAPL,0000320193,ResearchAndDevelopmentExpense,426000000.0,2010-03-27,2011-04-21,10-Q,2011,Q2,CY2010Q1
AAPL,0000320193,WeightedAverageNumberOfSharesOutstandingBasic,907548000.0,2010-03-27,2011-04-21,10-Q,2011,Q2,CY2010Q1
AAPL,0000320193,WeightedAverageNumberOfDilutedSharesOutstanding,922878000.0,2010-03-27,2011-04-21,10-Q,2011,Q2,CY2010Q1
AAPL,0000320193,GrossProfit,5625000000.0,2010-03-27,2011-10-26,10-K,2011,FY,CY2010Q1
AAPL,0000320193,NetIncomeLoss,3074000000.0,2010-03-27,2011-10-26,10-K,2011,FY,CY2010Q1
AAPL,0000320193,EarningsPerShareBasic,3.39,2010-03-27,2011-10-26,10-K,2011,FY,CY2010Q1
AAPL,0000320193,EarningsPerShareDiluted,3.33,2010-03-27,2011-10-26,10-K,2011,FY,CY2010Q1
AAPL,0000320193,Assets,64725000000.0,2010-06-26,2010-07-21,10-Q,2010,Q3,CY2010Q2I
AAPL,0000320193,AssetsCurrent,36033000000.0,2010-06-26,2010-07-21,10-Q,2010,Q3,CY2010Q2I
AAPL,0000320193,Cash,1926000000.0,2010-06-26,2010-07-21,10-Q,2010,Q3,CY2010Q2I
AAPL,0000320193,Liabilities,21614000000.0,2010-06-26,2010-07-21,10-Q,2010,Q3,CY2010Q2I
AAPL,0000320193,LiabilitiesCurrent,15612000000.0,2010-06-26,2010-07-21,10-Q,2010,Q3,CY2010Q2I
AAPL,0000320193,StockholdersEquity,43111000000.0,2010-06-26,2010-07-21,10-Q,2010,Q3,CY2010Q2I
AAPL,0000320193,OperatingIncomeLoss,4234000000.0,2010-06-26,2011-07-20,10-Q,2011,Q3,CY2010Q2
AAPL,0000320193,CashAndCashEquivalentsAtCarryingValue,9705000000.0,2010-06-26,2011-07-20,10-Q,2011,Q3,CY2010Q2I
AAPL,0000320193,NetCashProvidedByUsedInOperatingActivities,12912000000.0,2010-06-26,2011-07-20,10-Q,2011,Q3,
