ticker,cik,metric,value,date,filed_date,form,fiscal_year,fiscal_period,frame
LMT,0000936468,CashAndCashEquivalentsAtCarryingValue,1912000000.0,2006-12-31,2010-02-25,10-K,2009,FY,CY2006Q4I
LMT,0000936468,StockholdersEquity,6884000000.0,2006-12-31,2010-02-25,10-K,2009,FY,CY2006Q4I
LMT,0000936468,GrossProfit,4234000000.0,2007-12-31,2010-02-25,10-K,2009,FY,CY2007
LMT,0000936468,OperatingIncomeLoss,4527000000.0,2007-12-31,2010-02-25,10-K,2009,FY,CY2007
LMT,0000936468,NetIncomeLoss,3033000000.0,2007-12-31,2010-02-25,10-K,2009,FY,CY2007
LMT,0000936468,EarningsPerShareBasic,7.29,2007-12-31,2010-02-25,10-K,2009,FY,CY2007
LMT,0000936468,EarningsPerShareDiluted,7.1,2007-12-31,2010-02-25,10-K,2009,FY,CY2007
LMT,0000936468,NetCashProvidedByUsedInOperatingActivities,4238000000.0,2007-12-31,2010-02-25,10-K,2009,FY,CY2007
LMT,0000936468,NetCashProvidedByUsedInInvestingActivities,-1205000000.0,2007-12-31,2010-02-25,10-K,2009,FY,CY2007
LMT,0000936468,NetCashProvidedByUsedInFinancingActivities,-2300000000.0,2007-12-31,2010-02-25,10-K,2009,FY,CY2007
LMT,0000936468,PaymentsToAcquirePropertyPlantAndEquipment,940000000.0,2007-12-31,2010-02-25,10-K,2009,FY,CY2007
LMT,0000936468,CashAndCashEquivalentsAtCarryingValue,2648000000.0,2007-12-31,2011-02-25,10-K,2010,FY,CY2007Q4I
LMT,0000936468,StockholdersEquity,9805000000.0,2007-12-31,2011-02-25,10-K,2010,FY,CY2007Q4I
LMT,0000936468,GrossProfit,1191000000.0,2008-06-29,2009-07-22,10-Q,2009,Q2,CY2008Q2
LMT,0000936468,OperatingIncomeLoss,1363000000.0,2008-06-29,2009-07-22,10-Q,2009,Q2,CY2008Q2
LMT,0000936468,NetIncomeLoss,882000000.0,2008-06-29,2009-07-22,10-Q,2009,Q2,CY2008Q2
LMT,0000936468,EarningsPerShareBasic,2.21,2008-06-29,2009-07-22,10-Q,2009,Q2,CY2008Q2
