ticker,cik,metric,value,date,filed_date,form,fiscal_year,fiscal_period,frame
RTX,0000101829,Revenues,55716000000.0,2007-12-31,2010-02-11,10-K,2009,FY,CY2007
RTX,0000101829,OperatingIncomeLoss,7050000000.0,2007-12-31,2010-02-11,10-K,2009,FY,CY2007
RTX,0000101829,NetIncomeLoss,4224000000.0,2007-12-31,2010-02-11,10-K,2009,FY,CY2007
RTX,0000101829,EarningsPerShareBasic,4.38,2007-12-31,2010-02-11,10-K,2009,FY,CY2007
RTX,0000101829,EarningsPerShareDiluted,4.27,2007-12-31,2010-02-11,10-K,2009,FY,CY2007
RTX,0000101829,NetCashProvidedByUsedInOperatingActivities,5330000000.0,2007-12-31,2010-02-11,10-K,2009,FY,CY2007
RTX,0000101829,NetCashProvidedByUsedInInvestingActivities,-3182000000.0,2007-12-31,2010-02-11,10-K,2009,FY,CY2007
RTX,0000101829,NetCashProvidedByUsedInFinancingActivities,-1955000000.0,2007-12-31,2010-02-11,10-K,2009,FY,CY2007
RTX,0000101829,ResearchAndDevelopmentExpense,1678000000.0,2007-12-31,2010-02-11,10-K,2009,FY,CY2007
RTX,0000101829,WeightedAverageNumberOfSharesOutstandingBasic,964000000.0,2007-12-31,2010-02-11,10-K,2009,FY,CY2007
RTX,0000101829,WeightedAverageNumberOfDilutedSharesOutstanding,989000000.0,2007-12-31,2010-02-11,10-K,2009,FY,CY2007
RTX,0000101829,Revenues,15944000000.0,2008-06-30,2009-07-24,10-Q,2009,Q2,CY2008Q2
RTX,0000101829,OperatingIncomeLoss,2099000000.0,2008-06-30,2009-07-24,10-Q,2009,Q2,CY2008Q2
RTX,0000101829,NetIncomeLoss,1275000000.0,2008-06-30,2009-07-24,10-Q,2009,Q2,CY2008Q2
RTX,0000101829,EarningsPerShareBasic,1.35,2008-06-30,2009-07-24,10-Q,2009,Q2,CY2008Q2
RTX,0000101829,EarningsPerShareDiluted,1.32,2008-06-30,2009-07-24,10-Q,2009,Q2,CY2008Q2
RTX,0000101829,NetCashProvidedByUsedInOperatingActivities,2306000000.0,2008-06-30,2009-07-24,10-Q,2009,Q2,
RTX,0000101829,NetCashProvidedByUsedInInvestingActivities,-1231000000.0,2008-06-30,2009-07-24,10-Q,2009,Q2,
RTX,0000101829,NetCashProvidedByUsedInFinancingActivities,-612000000.0,2008-06-30,2009-07-24,10-Q,2009,Q2,
RTX,0000101829,ResearchAndDevelopmentExpense,434000000.0,2008-06-30,2009-07-24,10-Q,2009,Q2,CY2008Q2
RTX,0000101829,WeightedAverageNumberOfSharesOutstandingBasic,944000000.0,2008-06-30,2009-07-24,10-Q,2009,Q2,CY2008Q2
RTX,0000101829,WeightedAverageNumberOfDilutedSharesOutstanding,966000000.0,2008-06-30,2009-07-24,10-Q,2009,Q2,CY2008Q2
RTX,0000101829,Revenues,15085000000.0,2008-09-30,2009-10-23,10-Q,2009,Q3,CY2008Q3
RTX,0000101829,OperatingIncomeLoss,2049000000.0,2008-09-30,2009-10-23,10-Q,2009,Q3,CY2008Q3
RTX,0000101829,NetIncomeLoss,1269000000.0,2008-09-30,2009-10-23,10-Q,2009,Q3,CY2008Q3
RTX,0000101829,EarningsPerShareBasic,1.36,2008-09-30,2009-10-23,10-Q,2009,Q3,CY2008Q3
RTX,0000101829,EarningsPerShareDiluted,1.33,2008-09-30,2009-10-23,10-Q,2009,Q3,CY2008Q3
RTX,0000101829,NetCashProvidedByUsedInOperatingActivities,4141000000.0,2008-09-30,2009-10-23,10-Q,2009,Q3,
RTX,0000101829,NetCashProvidedByUsedInInvestingActivities,-1190000000.0,2008-09-30,2009-10-23,10-Q,2009,Q3,
RTX,0000101829,NetCashProvidedByUsedInFinancingActivities,-2236000000.0,2008-09-30,2009-10-23,10-Q,2009,Q3,
RTX,0000101829,ResearchAndDevelopmentExpense,436000000.0,2008-09-30,2009-10-23,10-Q,2009,Q3,CY2008Q3
RTX,0000101829,WeightedAverageNumberOfSharesOutstandingBasic,933000000.0,2008-09-30,2009-10-23,10-Q,2009,Q3,CY2008Q3
RTX,0000101829,WeightedAverageNumberOfDilutedSharesOutstanding,951000000.0,2008-09-30,2009-10-23,10-Q,2009,Q3,CY2008Q3
RTX,0000101829,Revenues,59757000000.0,2008-12-31,2010-02-11,10-K,2009,FY,CY2008
RTX,0000101829,AssetsCurrent,24467000000.0,2008-12-31,2010-02-11,10-K,2009,FY,CY2008Q4I
RTX,0000101829,Liabilities,39911000000.0,2008-12-31,2010-02-11,10-K,2009,FY,CY2008Q4I
RTX,0000101829,LiabilitiesCurrent,19802000000.0,2008-12-31,2010-02-11,10-K,2009,FY,CY2008Q4I
RTX,0000101829,StockholdersEquity,15763000000.0,2008-12-31,2010-02-11,10-K,2009,FY,CY2008Q4I
RTX,0000101829,OperatingIncomeLoss,7509000000.0,2008-12-31,2011-02-10,10-K,2010,FY,CY2008
RTX,0000101829,NetIncomeLoss,4689000000.0,2008-12-31,2011-02-10,10-K,2010,FY,CY2008
RTX,0000101829,EarningsPerShareBasic,5.0,2008-12-31,2011-02-10,10-K,2010,FY,CY2008
RTX,0000101829,EarningsPerShareDiluted,4.9,2008-12-31,2011-02-10,10-K,2010,FY,CY2008
RTX,0000101829,Assets,56837000000.0,2008-12-31,2011-02-10,10-K,2010,FY,CY2008Q4I
RTX,0000101829,NetCashProvidedByUsedInOperatingActivities,6161000000.0,2008-12-31,2011-02-10,10-K,2010,FY,CY2008
