ticker,cik,metric,value,date,filed_date,form,fiscal_year,fiscal_period,frame
DHR,0000313616,CashAndCashEquivalentsAtCarryingValue,317810000.0,2006-12-31,2010-02-24,10-K,2009,FY,CY2006Q4I
DHR,0000313616,OperatingIncomeLoss,1740709000.0,2007-12-31,2010-02-24,10-K,2009,FY,CY2007
DHR,0000313616,NetIncomeLoss,1369904000.0,2007-12-31,2010-02-24,10-K,2009,FY,CY2007
DHR,0000313616,EarningsPerShareBasic,4.4,2007-12-31,2010-02-24,10-K,2009,FY,CY2007
DHR,0000313616,NetCashProvidedByUsedInOperatingActivities,1645775000.0,2007-12-31,2010-02-24,10-K,2009,FY,CY2007
DHR,0000313616,NetCashProvidedByUsedInInvestingActivities,-3445759000.0,2007-12-31,2010-02-24,10-K,2009,FY,CY2007
DHR,0000313616,NetCashProvidedByUsedInFinancingActivities,1712170000.0,2007-12-31,2010-02-24,10-K,2009,FY,CY2007
DHR,0000313616,PaymentsToAcquirePropertyPlantAndEquipment,162071000.0,2007-12-31,2010-02-24,10-K,2009,FY,CY2007
DHR,0000313616,ResearchAndDevelopmentExpense,601424000.0,2007-12-31,2010-02-24,10-K,2009,FY,CY2007
DHR,0000313616,WeightedAverageNumberOfSharesOutstandingBasic,311225000.0,2007-12-31,2010-02-24,10-K,2009,FY,CY2007
DHR,0000313616,WeightedAverageNumberOfDilutedSharesOutstanding,329459000.0,2007-12-31,2010-02-24,10-K,2009,FY,CY2007
DHR,0000313616,CashAndCashEquivalentsAtCarryingValue,239108000.0,2007-12-31,2011-02-24,10-K,2010,FY,
DHR,0000313616,OperatingIncomeLoss,510464000.0,2008-06-27,2009-07-23,10-Q,2009,Q2,CY2008Q2
DHR,0000313616,NetIncomeLoss,363448000.0,2008-06-27,2009-07-23,10-Q,2009,Q2,CY2008Q2
DHR,0000313616,EarningsPerShareBasic,1.14,2008-06-27,2009-07-23,10-Q,2009,Q2,CY2008Q2
DHR,0000313616,CashAndCashEquivalentsAtCarryingValue,284100000.0,2008-06-27,2009-07-23,10-Q,2009,Q2,CY2008Q2I
DHR,0000313616,NetCashProvidedByUsedInOperatingActivities,914930000.0,2008-06-27,2009-07-23,10-Q,2009,Q2,
DHR,0000313616,NetCashProvidedByUsedInInvestingActivities,-136414000.0,2008-06-27,2009-07-23,10-Q,2009,Q2,
