ticker,cik,metric,value,date,filed_date,form,fiscal_year,fiscal_period,frame
ILMN,0001110803,CashAndCashEquivalentsAtCarryingValue,174941000.0,2007-12-30,2011-02-28,10-K,2010,FY,CY2007Q4I
ILMN,0001110803,StockholdersEquity,353927000.0,2007-12-30,2011-02-28,10-K,2010,FY,CY2007Q4I
ILMN,0001110803,GrossProfit,353094000.0,2008-12-28,2011-02-28,10-K,2010,FY,CY2008
ILMN,0001110803,OperatingIncomeLoss,80457000.0,2008-12-28,2011-02-28,10-K,2010,FY,CY2008
ILMN,0001110803,NetIncomeLoss,39416000.0,2008-12-28,2011-02-28,10-K,2010,FY,CY2008
ILMN,0001110803,EarningsPerShareBasic,0.34,2008-12-28,2011-02-28,10-K,2010,FY,CY2008
ILMN,0001110803,EarningsPerShareDiluted,0.3,2008-12-28,2011-02-28,10-K,2010,FY,CY2008
ILMN,0001110803,NetCashProvidedByUsedInOperatingActivities,87882000.0,2008-12-28,2011-02-28,10-K,2010,FY,CY2008
ILMN,0001110803,NetCashProvidedByUsedInInvestingActivities,-277249000.0,2008-12-28,2011-02-28,10-K,2010,FY,CY2008
ILMN,0001110803,NetCashProvidedByUsedInFinancingActivities,337672000.0,2008-12-28,2011-02-28,10-K,2010,FY,CY2008
ILMN,0001110803,PaymentsToAcquirePropertyPlantAndEquipment,59693000.0,2008-12-28,2011-02-28,10-K,2010,FY,CY2008
ILMN,0001110803,ResearchAndDevelopmentExpense,99963000.0,2008-12-28,2011-02-28,10-K,2010,FY,CY2008
ILMN,0001110803,WeightedAverageNumberOfSharesOutstandingBasic,116855000.0,2008-12-28,2011-02-28,10-K,2010,FY,CY2008
ILMN,0001110803,WeightedAverageNumberOfDilutedSharesOutstanding,133607000.0,2008-12-28,2011-02-28,10-K,2010,FY,CY2008
ILMN,0001110803,CashAndCashEquivalentsAtCarryingValue,327024000.0,2008-12-28,2012-02-24,10-K,2011,FY,CY2008Q4I
ILMN,0001110803,StockholdersEquity,798667000.0,2008-12-28,2012-02-24,10-K,2011,FY,CY2008Q4I
ILMN,0001110803,GrossProfit,111158000.0,2009-06-28,2010-08-04,10-Q,2010,Q2,CY2009Q2
ILMN,0001110803,OperatingIncomeLoss,36102000.0,2009-06-28,2010-08-04,10-Q,2010,Q2,CY2009Q2
ILMN,0001110803,NetIncomeLoss,24688000.0,2009-06-28,2010-08-04,10-Q,2010,Q2,CY2009Q2
ILMN,0001110803,EarningsPerShareBasic,0.2,2009-06-28,2010-08-04,10-Q,2010,Q2,CY2009Q2
ILMN,0001110803,EarningsPerShareDiluted,0.18,2009-06-28,2010-08-04,10-Q,2010,Q2,CY2009Q2
ILMN,0001110803,CashAndCashEquivalentsAtCarryingValue,352097000.0,2009-06-28,2010-08-04,10-Q,2010,Q2,CY2009Q2I
ILMN,0001110803,NetCashProvidedByUsedInOperatingActivities,90117000.0,2009-06-28,2010-08-04,10-Q,2010,Q2,
ILMN,0001110803,NetCashProvidedByUsedInInvestingActivities,-113128000.0,2009-06-28,2010-08-04,10-Q,2010,Q2,
ILMN,0001110803,NetCashProvidedByUsedInFinancingActivities,46946000.0,2009-06-28,2010-08-04,10-Q,2010,Q2,
ILMN,0001110803,PaymentsToAcquirePropertyPlantAndEquipment,26591000.0,2009-06-28,2010-08-04,10-Q,2010,Q2,
ILMN,0001110803,ResearchAndDevelopmentExpense,33117000.0,2009-06-28,2010-08-04,10-Q,2010,Q2,CY2009Q2
ILMN,0001110803,WeightedAverageNumberOfSharesOutstandingBasic,123511000.0,2009-06-28,2010-08-04,10-Q,2010,Q2,CY2009Q2
ILMN,0001110803,WeightedAverageNumberOfDilutedSharesOutstanding,139465000.0,2009-06-28,2010-08-04,10-Q,2010,Q2,CY2009Q2
ILMN,0001110803,GrossProfit,107126000.0,2009-09-27,2010-11-05,10-Q,2010,Q3,CY2009Q3
ILMN,0001110803,OperatingIncomeLoss,29299000.0,2009-09-27,2010-11-05,10-Q,2010,Q3,CY2009Q3
ILMN,0001110803,NetIncomeLoss,17077000.0,2009-09-27,2010-11-05,10-Q,2010,Q3,CY2009Q3
ILMN,0001110803,EarningsPerShareBasic,0.14,2009-09-27,2010-11-05,10-Q,2010,Q3,CY2009Q3
ILMN,0001110803,EarningsPerShareDiluted,0.12,2009-09-27,2010-11-05,10-Q,2010,Q3,CY2009Q3
ILMN,0001110803,CashAndCashEquivalentsAtCarryingValue,238528000.0,2009-09-27,2010-11-05,10-Q,2010,Q3,CY2009Q3I
ILMN,0001110803,NetCashProvidedByUsedInOperatingActivities,110902000.0,2009-09-27,2010-11-05,10-Q,2010,Q3,
ILMN,0001110803,NetCashProvidedByUsedInInvestingActivities,-272122000.0,2009-09-27,2010-11-05,10-Q,2010,Q3,
ILMN,0001110803,NetCashProvidedByUsedInFinancingActivities,72287000.0,2009-09-27,2010-11-05,10-Q,2010,Q3,
ILMN,0001110803,PaymentsToAcquirePropertyPlantAndEquipment,46288000.0,2009-09-27,2010-11-05,10-Q,2010,Q3,
ILMN,0001110803,ResearchAndDevelopmentExpense,34406000.0,2009-09-27,2010-11-05,10-Q,2010,Q3,CY2009Q3
ILMN,0001110803,WeightedAverageNumberOfSharesOutstandingBasic,124557000.0,2009-09-27,2010-11-05,10-Q,2010,Q3,CY2009Q3
ILMN,0001110803,WeightedAverageNumberOfDilutedSharesOutstanding,139874000.0,2009-09-27,2010-11-05,10-Q,2010,Q3,CY2009Q3
ILMN,0001110803,Assets,1429937000.0,2010-01-03,2011-02-28,10-K,2010,FY,CY2009Q4I
ILMN,0001110803,AssetsCurrent,981590000.0,2010-01-03,2011-02-28,10-K,2010,FY,CY2009Q4I
ILMN,0001110803,LiabilitiesCurrent,441236000.0,2010-01-03,2011-02-28,10-K,2010,FY,CY2009Q4I
ILMN,0001110803,GrossProfit,453875000.0,2010-01-03,2012-02-24,10-K,2011,FY,CY2009
ILMN,0001110803,OperatingIncomeLoss,125597000.0,2010-01-03,2012-02-24,10-K,2011,FY,CY2009
ILMN,0001110803,NetIncomeLoss,72281000.0,2010-01-03,2012-02-24,10-K,2011,FY,CY2009
ILMN,0001110803,EarningsPerShareBasic,0.59,2010-01-03,2012-02-24,10-K,2011,FY,CY2009
ILMN,0001110803,EarningsPerShareDiluted,0.53,2010-01-03,2012-02-24,10-K,2011,FY,CY2009
ILMN,0001110803,NetCashProvidedByUsedInOperatingActivities,172191000.0,2010-01-03,2012-02-24,10-K,2011,FY,CY2009
ILMN,0001110803,NetCashProvidedByUsedInInvestingActivities,-256569000.0,2010-01-03,2012-02-24,10-K,2011,FY,CY2009
ILMN,0001110803,NetCashProvidedByUsedInFinancingActivities,-98862000.0,2010-01-03,2012-02-24,10-K,2011,FY,CY2009
ILMN,0001110803,PaymentsToAcquirePropertyPlantAndEquipment,52673000.0,2010-01-03,2012-02-24,10-K,2011,FY,CY2009
ILMN,0001110803,ResearchAndDevelopmentExpense,140616000.0,2010-01-03,2012-02-24,10-K,2011,FY,CY2009
ILMN,0001110803,WeightedAverageNumberOfSharesOutstandingBasic,123154000.0,2010-01-03,2012-02-24,10-K,2011,FY,CY2009
ILMN,0001110803,WeightedAverageNumberOfDilutedSharesOutstanding,137096000.0,2010-01-03,2012-02-24,10-K,2011,FY,CY2009
ILMN,0001110803,CashAndCashEquivalentsAtCarryingValue,144633000.0,2010-01-03,2013-02-15,10-K,2012,FY,CY2009Q4I
ILMN,0001110803,StockholdersEquity,864248000.0,2010-01-03,2013-02-15,10-K,2012,FY,CY2009Q4I
ILMN,0001110803,OperatingIncomeLoss,38225000.0,2010-04-04,2011-05-04,10-Q,2011,Q1,CY2010Q1
ILMN,0001110803,CashAndCashEquivalentsAtCarryingValue,213225000.0,2010-04-04,2011-05-04,10-Q,2011,Q1,CY2010Q1I
ILMN,0001110803,NetCashProvidedByUsedInOperatingActivities,59065000.0,2010-04-04,2011-05-04,10-Q,2011,Q1,CY2010Q1
ILMN,0001110803,NetCashProvidedByUsedInInvestingActivities,-24664000.0,2010-04-04,2011-05-04,10-Q,2011,Q1,CY2010Q1
ILMN,0001110803,NetCashProvidedByUsedInFinancingActivities,34306000.0,2010-04-04,2011-05-04,10-Q,2011,Q1,CY2010Q1
