ticker,cik,metric,value,date,filed_date,form,fiscal_year,fiscal_period,frame
JNJ,0000200406,CashAndCashEquivalentsAtCarryingValue,4083000000.0,2006-12-31,2010-03-01,10-K,2009,FY,CY2006Q4I
JNJ,0000200406,GrossProfit,43344000000.0,2007-12-30,2010-03-01,10-K,2009,FY,CY2007
JNJ,0000200406,EarningsPerShareBasic,3.67,2007-12-30,2010-03-01,10-K,2009,FY,CY2007
JNJ,0000200406,EarningsPerShareDiluted,3.63,2007-12-30,2010-03-01,10-K,2009,FY,CY2007
JNJ,0000200406,NetCashProvidedByUsedInOperatingActivities,15022000000.0,2007-12-30,2010-03-01,10-K,2009,FY,CY2007
JNJ,0000200406,NetCashProvidedByUsedInInvestingActivities,-5912000000.0,2007-12-30,2010-03-01,10-K,2009,FY,CY2007
JNJ,0000200406,NetCashProvidedByUsedInFinancingActivities,-5698000000.0,2007-12-30,2010-03-01,10-K,2009,FY,CY2007
JNJ,0000200406,PaymentsToAcquirePropertyPlantAndEquipment,2942000000.0,2007-12-30,2010-03-01,10-K,2009,FY,CY2007
JNJ,0000200406,WeightedAverageNumberOfSharesOutstandingBasic,2882900000.0,2007-12-30,2010-03-01,10-K,2009,FY,CY2007
JNJ,0000200406,WeightedAverageNumberOfDilutedSharesOutstanding,2910700000.0,2007-12-30,2010-03-01,10-K,2009,FY,CY2007
JNJ,0000200406,CashAndCashEquivalentsAtCarryingValue,7770000000.0,2007-12-30,2011-02-25,10-K,2010,FY,CY2007Q4I
JNJ,0000200406,GrossProfit,11699000000.0,2008-06-29,2009-08-04,10-Q,2009,Q2,CY2008Q2
JNJ,0000200406,EarningsPerShareBasic,1.18,2008-06-29,2009-08-04,10-Q,2009,Q2,CY2008Q2
JNJ,0000200406,EarningsPerShareDiluted,1.17,2008-06-29,2009-08-04,10-Q,2009,Q2,CY2008Q2
JNJ,0000200406,CashAndCashEquivalentsAtCarryingValue,12646000000.0,2008-06-29,2009-08-04,10-Q,2009,Q2,CY2008Q2I
JNJ,0000200406,NetCashProvidedByUsedInOperatingActivities,6078000000.0,2008-06-29,2009-08-04,10-Q,2009,Q2,
JNJ,0000200406,NetCashProvidedByUsedInInvestingActivities,-112000000.0,2008-06-29,2009-08-04,10-Q,2009,Q2,
JNJ,0000200406,NetCashProvidedByUsedInFinancingActivities,-1298000000.0,2008-06-29,2009-08-04,10-Q,2009,Q2,
JNJ,0000200406,PaymentsToAcquirePropertyPlantAndEquipment,1166000000.0,2008-06-29,2009-08-04,10-Q,2009,Q2,
JNJ,0000200406,WeightedAverageNumberOfSharesOutstandingBasic,2809800000.0,2008-06-29,2009-08-04,10-Q,2009,Q2,CY2008Q2
JNJ,0000200406,WeightedAverageNumberOfDilutedSharesOutstanding,2844800000.0,2008-06-29,2009-08-04,10-Q,2009,Q2,CY2008Q2
JNJ,0000200406,GrossProfit,11147000000.0,2008-09-28,2009-11-04,10-Q,2009,Q3,CY2008Q3
JNJ,0000200406,EarningsPerShareBasic,1.19,2008-09-28,2009-11-04,10-Q,2009,Q3,CY2008Q3
JNJ,0000200406,EarningsPerShareDiluted,1.17,2008-09-28,2009-11-04,10-Q,2009,Q3,CY2008Q3
JNJ,0000200406,CashAndCashEquivalentsAtCarryingValue,14018000000.0,2008-09-28,2009-11-04,10-Q,2009,Q3,CY2008Q3I
JNJ,0000200406,NetCashProvidedByUsedInOperatingActivities,10971000000.0,2008-09-28,2009-11-04,10-Q,2009,Q3,
JNJ,0000200406,NetCashProvidedByUsedInInvestingActivities,-1673000000.0,2008-09-28,2009-11-04,10-Q,2009,Q3,
JNJ,0000200406,NetCashProvidedByUsedInFinancingActivities,-2994000000.0,2008-09-28,2009-11-04,10-Q,2009,Q3,
JNJ,0000200406,PaymentsToAcquirePropertyPlantAndEquipment,1938000000.0,2008-09-28,2009-11-04,10-Q,2009,Q3,
JNJ,0000200406,WeightedAverageNumberOfSharesOutstandingBasic,2790900000.0,2008-09-28,2009-11-04,10-Q,2009,Q3,CY2008Q3
JNJ,0000200406,WeightedAverageNumberOfDilutedSharesOutstanding,2831300000.0,2008-09-28,2009-11-04,10-Q,2009,Q3,CY2008Q3
JNJ,0000200406,AssetsCurrent,34377000000.0,2008-12-28,2010-03-01,10-K,2009,FY,CY2008Q4I
JNJ,0000200406,Liabilities,42401000000.0,2008-12-28,2010-03-01,10-K,2009,FY,CY2008Q4I
JNJ,0000200406,LiabilitiesCurrent,20852000000.0,2008-12-28,2010-03-01,10-K,2009,FY,CY2008Q4I
JNJ,0000200406,GrossProfit,45236000000.0,2008-12-28,2011-02-25,10-K,2010,FY,CY2008
JNJ,0000200406,EarningsPerShareBasic,4.62,2008-12-28,2011-02-25,10-K,2010,FY,CY2008
JNJ,0000200406,EarningsPerShareDiluted,4.57,2008-12-28,2011-02-25,10-K,2010,FY,CY2008
JNJ,0000200406,Assets,84912000000.0,2008-12-28,2011-02-25,10-K,2010,FY,CY2008Q4I
JNJ,0000200406,NetCashProvidedByUsedInOperatingActivities,14972000000.0,2008-12-28,2011-02-25,10-K,2010,FY,CY2008
JNJ,0000200406,NetCashProvidedByUsedInInvestingActivities,-4187000000.0,2008-12-28,2011-02-25,10-K,2010,FY,CY2008
JNJ,0000200406,NetCashProvidedByUsedInFinancingActivities,-7464000000.0,2008-12-28,2011-02-25,10-K,2010,FY,CY2008
JNJ,0000200406,PaymentsToAcquirePropertyPlantAndEquipment,3066000000.0,2008-12-28,2011-02-25,10-K,2010,FY,CY2008
JNJ,0000200406,WeightedAverageNumberOfSharesOutstandingBasic,2802500000.0,2008-12-28,2011-02-25,10-K,2010,FY,CY2008
JNJ,0000200406,WeightedAverageNumberOfDilutedSharesOutstanding,2835600000.0,2008-12-28,2011-02-25,10-K,2010,FY,CY2008
JNJ,0000200406,CashAndCashEquivalentsAtCarryingValue,10768000000.0,2008-12-28,2012-02-23,10-K,2011,FY,CY2008Q4I
JNJ,0000200406,CashAndCashEquivalentsAtCarryingValue,12589000000.0,2009-03-29,2010-05-10,10-Q,2010,Q1,CY2009Q1I
JNJ,0000200406,NetCashProvidedByUsedInOperatingActivities,2827000000.0,2009-03-29,2010-05-10,10-Q,2010,Q1,CY2009Q1
JNJ,0000200406,NetCashProvidedByUsedInInvestingActivities,-1076000000.0,2009-03-29,2010-05-10,10-Q,2010,Q1,CY2009Q1
JNJ,0000200406,NetCashProvidedByUsedInFinancingActivities,132000000.0,2009-03-29,2010-05-10,10-Q,2010,Q1,CY2009Q1
JNJ,0000200406,PaymentsToAcquirePropertyPlantAndEquipment,435000000.0,2009-03-29,2010-05-10,10-Q,2010,Q1,CY2009Q1
JNJ,0000200406,WeightedAverageNumberOfSharesOutstandingBasic,2765900000.0,2009-03-29,2010-05-10,10-Q,2010,Q1,CY2009Q1
JNJ,0000200406,WeightedAverageNumberOfDilutedSharesOutstanding,2789800000.0,2009-03-29,2010-05-10,10-Q,2010,Q1,CY2009Q1
JNJ,0000200406,GrossProfit,10775000000.0,2009-03-29,2011-02-25,10-K,2010,FY,CY2009Q1
JNJ,0000200406,NetIncomeLoss,3507000000.0,2009-03-29,2011-02-25,10-K,2010,FY,CY2009Q1
JNJ,0000200406,EarningsPerShareBasic,1.27,2009-03-29,2011-02-25,10-K,2010,FY,CY2009Q1
JNJ,0000200406,EarningsPerShareDiluted,1.26,2009-03-29,2011-02-25,10-K,2010,FY,CY2009Q1
JNJ,0000200406,Assets,87438000000.0,2009-06-28,2009-08-04,10-Q,2009,Q2,CY2009Q2I
JNJ,0000200406,AssetsCurrent,35494000000.0,2009-06-28,2009-08-04,10-Q,2009,Q2,CY2009Q2I
JNJ,0000200406,Liabilities,41191000000.0,2009-06-28,2009-08-04,10-Q,2009,Q2,CY2009Q2I
JNJ,0000200406,LiabilitiesCurrent,19886000000.0,2009-06-28,2009-08-04,10-Q,2009,Q2,CY2009Q2I
JNJ,0000200406,CashAndCashEquivalentsAtCarryingValue,11686000000.0,2009-06-28,2010-08-11,10-Q,2010,Q2,CY2009Q2I
JNJ,0000200406,NetCashProvidedByUsedInOperatingActivities,6190000000.0,2009-06-28,2010-08-11,10-Q,2010,Q2,
JNJ,0000200406,NetCashProvidedByUsedInInvestingActivities,-3379000000.0,2009-06-28,2010-08-11,10-Q,2010,Q2,
JNJ,0000200406,NetCashProvidedByUsedInFinancingActivities,-1928000000.0,2009-06-28,2010-08-11,10-Q,2010,Q2,
JNJ,0000200406,PaymentsToAcquirePropertyPlantAndEquipment,1002000000.0,2009-06-28,2010-08-11,10-Q,2010,Q2,
JNJ,0000200406,WeightedAverageNumberOfSharesOutstandingBasic,2756200000.0,2009-06-28,2010-08-11,10-Q,2010,Q2,CY2009Q2
JNJ,0000200406,WeightedAverageNumberOfDilutedSharesOutstanding,2782000000.0,2009-06-28,2010-08-11,10-Q,2010,Q2,CY2009Q2
JNJ,0000200406,GrossProfit,10789000000.0,2009-06-28,2011-02-25,10-K,2010,FY,CY2009Q2
JNJ,0000200406,NetIncomeLoss,3208000000.0,2009-06-28,2011-02-25,10-K,2010,FY,CY2009Q2
JNJ,0000200406,EarningsPerShareBasic,1.16,2009-06-28,2011-02-25,10-K,2010,FY,CY2009Q2
JNJ,0000200406,EarningsPerShareDiluted,1.15,2009-06-28,2011-02-25,10-K,2010,FY,CY2009Q2
JNJ,0000200406,Assets,91558000000.0,2009-09-27,2009-11-04,10-Q,2009,Q3,CY2009Q3I
JNJ,0000200406,AssetsCurrent,35602000000.0,2009-09-27,2009-11-04,10-Q,2009,Q3,CY2009Q3I
JNJ,0000200406,Liabilities,41174000000.0,2009-09-27,2009-11-04,10-Q,2009,Q3,CY2009Q3I
JNJ,0000200406,LiabilitiesCurrent,19245000000.0,2009-09-27,2009-11-04,10-Q,2009,Q3,CY2009Q3I
JNJ,0000200406,CashAndCashEquivalentsAtCarryingValue,11856000000.0,2009-09-27,2010-11-10,10-Q,2010,Q3,CY2009Q3I
JNJ,0000200406,NetCashProvidedByUsedInOperatingActivities,11284000000.0,2009-09-27,2010-11-10,10-Q,2010,Q3,
JNJ,0000200406,NetCashProvidedByUsedInInvestingActivities,-5234000000.0,2009-09-27,2010-11-10,10-Q,2010,Q3,
JNJ,0000200406,NetCashProvidedByUsedInFinancingActivities,-5170000000.0,2009-09-27,2010-11-10,10-Q,2010,Q3,
JNJ,0000200406,PaymentsToAcquirePropertyPlantAndEquipment,1521000000.0,2009-09-27,2010-11-10,10-Q,2010,Q3,
JNJ,0000200406,WeightedAverageNumberOfSharesOutstandingBasic,2756300000.0,2009-09-27,2010-11-10,10-Q,2010,Q3,CY2009Q3
JNJ,0000200406,WeightedAverageNumberOfDilutedSharesOutstanding,2793000000.0,2009-09-27,2010-11-10,10-Q,2010,Q3,CY2009Q3
JNJ,0000200406,GrossProfit,10647000000.0,2009-09-27,2011-02-25,10-K,2010,FY,CY2009Q3
JNJ,0000200406,NetIncomeLoss,3345000000.0,2009-09-27,2011-02-25,10-K,2010,FY,CY2009Q3
JNJ,0000200406,EarningsPerShareBasic,1.21,2009-09-27,2011-02-25,10-K,2010,FY,CY2009Q3
JNJ,0000200406,EarningsPerShareDiluted,1.2,2009-09-27,2011-02-25,10-K,2010,FY,CY2009Q3
JNJ,0000200406,NetIncomeLoss,2206000000.0,2010-01-03,2011-02-25,10-K,2010,FY,CY2009Q4
JNJ,0000200406,AssetsCurrent,39541000000.0,2010-01-03,2011-02-25,10-K,2010,FY,CY2009Q4I
JNJ,0000200406,Liabilities,44094000000.0,2010-01-03,2011-02-25,10-K,2010,FY,CY2009Q4I
JNJ,0000200406,LiabilitiesCurrent,21731000000.0,2010-01-03,2011-02-25,10-K,2010,FY,CY2009Q4I
JNJ,0000200406,LongTermDebt,8257000000.0,2010-01-03,2011-02-25,10-K,2010,FY,CY2009Q4I
JNJ,0000200406,GrossProfit,43450000000.0,2010-01-03,2012-02-23,10-K,2011,FY,CY2009
JNJ,0000200406,OperatingIncomeLoss,16582000000.0,2010-01-03,2012-02-23,10-K,2011,FY,CY2009
JNJ,0000200406,EarningsPerShareBasic,4.45,2010-01-03,2012-02-23,10-K,2011,FY,CY2009
JNJ,0000200406,EarningsPerShareDiluted,4.4,2010-01-03,2012-02-23,10-K,2011,FY,CY2009
JNJ,0000200406,Assets,94682000000.0,2010-01-03,2012-02-23,10-K,2011,FY,CY2009Q4I
JNJ,0000200406,NetCashProvidedByUsedInOperatingActivities,16571000000.0,2010-01-03,2012-02-23,10-K,2011,FY,CY2009
JNJ,0000200406,NetCashProvidedByUsedInInvestingActivities,-7598000000.0,2010-01-03,2012-02-23,10-K,2011,FY,CY2009
JNJ,0000200406,NetCashProvidedByUsedInFinancingActivities,-4092000000.0,2010-01-03,2012-02-23,10-K,2011,FY,CY2009
JNJ,0000200406,PaymentsToAcquirePropertyPlantAndEquipment,2365000000.0,2010-01-03,2012-02-23,10-K,2011,FY,CY2009
JNJ,0000200406,WeightedAverageNumberOfSharesOutstandingBasic,2759500000.0,2010-01-03,2012-02-23,10-K,2011,FY,CY2009
JNJ,0000200406,WeightedAverageNumberOfDilutedSharesOutstanding,2789100000.0,2010-01-03,2012-02-23,10-K,2011,FY,CY2009
JNJ,0000200406,CashAndCashEquivalentsAtCarryingValue,15810000000.0,2010-01-03,2013-02-22,10-K,2012,FY,CY2009Q4I
JNJ,0000200406,Assets,93441000000.0,2010-04-04,2010-05-10,10-Q,2010,Q1,CY2010Q1I
JNJ,0000200406,AssetsCurrent,38861000000.0,2010-04-04,2010-05-10,10-Q,2010,Q1,CY2010Q1I
JNJ,0000200406,Liabilities,40527000000.0,2010-04-04,2010-05-10,10-Q,2010,Q1,CY2010Q1I
JNJ,0000200406,LiabilitiesCurrent,18499000000.0,2010-04-04,2010-05-10,10-Q,2010,Q1,CY2010Q1I
JNJ,0000200406,CashAndCashEquivalentsAtCarryingValue,13743000000.0,2010-04-04,2011-05-10,10-Q,2011,Q1,CY2010Q1I
JNJ,0000200406,NetCashProvidedByUsedInOperatingActivities,3690000000.0,2010-04-04,2011-05-10,10-Q,2011,Q1,CY2010Q1
JNJ,0000200406,NetCashProvidedByUsedInInvestingActivities,-1882000000.0,2010-04-04,2011-05-10,10-Q,2011,Q1,CY2010Q1
JNJ,0000200406,NetCashProvidedByUsedInFinancingActivities,-3822000000.0,2010-04-04,2011-05-10,10-Q,2011,Q1,CY2010Q1
JNJ,0000200406,PaymentsToAcquirePropertyPlantAndEquipment,397000000.0,2010-04-04,2011-05-10,10-Q,2011,Q1,CY2010Q1
JNJ,0000200406,WeightedAverageNumberOfSharesOutstandingBasic,2755400000.0,2010-04-04,2011-05-10,10-Q,2011,Q1,CY2010Q1
JNJ,0000200406,WeightedAverageNumberOfDilutedSharesOutstanding,2797300000.0,2010-04-04,2011-05-10,10-Q,2011,Q1,CY2010Q1
JNJ,0000200406,GrossProfit,11103000000.0,2010-04-04,2012-02-23,10-K,2011,FY,CY2010Q1
JNJ,0000200406,NetIncomeLoss,4526000000.0,2010-04-04,2012-02-23,10-K,2011,FY,CY2010Q1
JNJ,0000200406,EarningsPerShareBasic,1.64,2010-04-04,2012-02-23,10-K,2011,FY,CY2010Q1
JNJ,0000200406,EarningsPerShareDiluted,1.62,2010-04-04,2012-02-23,10-K,2011,FY,CY2010Q1
JNJ,0000200406,Assets,92300000000.0,2010-07-04,2010-08-11,10-Q,2010,Q2,CY2010Q2I
JNJ,0000200406,AssetsCurrent,39023000000.0,2010-07-04,2010-08-11,10-Q,2010,Q2,CY2010Q2I
JNJ,0000200406,Liabilities,39449000000.0,2010-07-04,2010-08-11,10-Q,2010,Q2,CY2010Q2I
JNJ,0000200406,LiabilitiesCurrent,17164000000.0,2010-07-04,2010-08-11,10-Q,2010,Q2,CY2010Q2I
JNJ,0000200406,OperatingIncomeLoss,4378000000.0,2010-07-04,2011-08-09,10-Q,2011,Q2,CY2010Q2
JNJ,0000200406,CashAndCashEquivalentsAtCarryingValue,12713000000.0,2010-07-04,2011-08-09,10-Q,2011,Q2,CY2010Q2I
JNJ,0000200406,NetCashProvidedByUsedInOperatingActivities,7527000000.0,2010-07-04,2011-08-09,10-Q,2011,Q2,
JNJ,0000200406,NetCashProvidedByUsedInInvestingActivities,-4575000000.0,2010-07-04,2011-08-09,10-Q,2011,Q2,
JNJ,0000200406,NetCashProvidedByUsedInFinancingActivities,-5887000000.0,2010-07-04,2011-08-09,10-Q,2011,Q2,
JNJ,0000200406,PaymentsToAcquirePropertyPlantAndEquipment,897000000.0,2010-07-04,2011-08-09,10-Q,2011,Q2,
JNJ,0000200406,WeightedAverageNumberOfSharesOutstandingBasic,2756600000.0,2010-07-04,2011-08-09,10-Q,2011,Q2,CY2010Q2
JNJ,0000200406,WeightedAverageNumberOfDilutedSharesOutstanding,2796000000.0,2010-07-04,2011-08-09,10-Q,2011,Q2,CY2010Q2
JNJ,0000200406,GrossProfit,10700000000.0,2010-07-04,2012-02-23,10-K,2011,FY,CY2010Q2
JNJ,0000200406,NetIncomeLoss,3449000000.0,2010-07-04,2012-02-23,10-K,2011,FY,CY2010Q2
JNJ,0000200406,EarningsPerShareBasic,1.25,2010-07-04,2012-02-23,10-K,2011,FY,CY2010Q2
JNJ,0000200406,EarningsPerShareDiluted,1.23,2010-07-04,2012-02-23,10-K,2011,FY,CY2010Q2
JNJ,0000200406,Assets,98247000000.0,2010-10-03,2010-11-10,10-Q,2010,Q3,CY2010Q3I
JNJ,0000200406,AssetsCurrent,42717000000.0,2010-10-03,2010-11-10,10-Q,2010,Q3,CY2010Q3I
JNJ,0000200406,Liabilities,40956000000.0,2010-10-03,2010-11-10,10-Q,2010,Q3,CY2010Q3I
JNJ,0000200406,LiabilitiesCurrent,17414000000.0,2010-10-03,2010-11-10,10-Q,2010,Q3,CY2010Q3I
JNJ,0000200406,OperatingIncomeLoss,4361000000.0,2010-10-03,2011-11-08,10-Q,2011,Q3,CY2010Q3
JNJ,0000200406,CashAndCashEquivalentsAtCarryingValue,14338000000.0,2010-10-03,2011-11-08,10-Q,2011,Q3,CY2010Q3I
JNJ,0000200406,NetCashProvidedByUsedInOperatingActivities,12561000000.0,2010-10-03,2011-11-08,10-Q,2011,Q3,
JNJ,0000200406,NetCashProvidedByUsedInInvestingActivities,-6450000000.0,2010-10-03,2011-11-08,10-Q,2011,Q3,
JNJ,0000200406,NetCashProvidedByUsedInFinancingActivities,-7586000000.0,2010-10-03,2011-11-08,10-Q,2011,Q3,
JNJ,0000200406,PaymentsToAcquirePropertyPlantAndEquipment,1425000000.0,2010-10-03,2011-11-08,10-Q,2011,Q3,
JNJ,0000200406,WeightedAverageNumberOfSharesOutstandingBasic,2751600000.0,2010-10-03,2011-11-08,10-Q,2011,Q3,CY2010Q3
JNJ,0000200406,WeightedAverageNumberOfDilutedSharesOutstanding,2786400000.0,2010-10-03,2011-11-08,10-Q,2011,Q3,CY2010Q3
JNJ,0000200406,GrossProfit,10388000000.0,2010-10-03,2012-02-23,10-K,2011,FY,CY2010Q3
JNJ,0000200406,NetIncomeLoss,3417000000.0,2010-10-03,2012-02-23,10-K,2011,FY,CY2010Q3
JNJ,0000200406,EarningsPerShareBasic,1.24,2010-10-03,2012-02-23,10-K,2011,FY,CY2010Q3
JNJ,0000200406,EarningsPerShareDiluted,1.23,2010-10-03,2012-02-23,10-K,2011,FY,CY2010Q3
JNJ,0000200406,LongTermDebt,9169000000.0,2011-01-02,2011-02-25,10-K,2010,FY,CY2010Q4I
JNJ,0000200406,AssetsCurrent,47307000000.0,2011-01-02,2012-02-23,10-K,2011,FY,CY2010Q4I
JNJ,0000200406,Cash,2293000000.0,2011-01-02,2012-02-23,10-K,2011,FY,CY2010Q4I
JNJ,0000200406,Liabilities,46329000000.0,2011-01-02,2012-02-23,10-K,2011,FY,CY2010Q4I
JNJ,0000200406,LiabilitiesCurrent,23072000000.0,2011-01-02,2012-02-23,10-K,2011,FY,CY2010Q4I
JNJ,0000200406,GrossProfit,42795000000.0,2011-01-02,2013-02-22,10-K,2012,FY,CY2010
JNJ,0000200406,OperatingIncomeLoss,17700000000.0,2011-01-02,2013-02-22,10-K,2012,FY,CY2010
JNJ,0000200406,NetIncomeLoss,13334000000.0,2011-01-02,2013-02-22,10-K,2012,FY,CY2010
JNJ,0000200406,EarningsPerShareBasic,4.85,2011-01-02,2013-02-22,10-K,2012,FY,CY2010
JNJ,0000200406,EarningsPerShareDiluted,4.78,2011-01-02,2013-02-22,10-K,2012,FY,CY2010
JNJ,0000200406,Assets,102908000000.0,2011-01-02,2013-02-22,10-K,2012,FY,CY2010Q4I
JNJ,0000200406,NetCashProvidedByUsedInOperatingActivities,16385000000.0,2011-01-02,2013-02-22,10-K,2012,FY,CY2010
JNJ,0000200406,NetCashProvidedByUsedInInvestingActivities,-7854000000.0,2011-01-02,2013-02-22,10-K,2012,FY,CY2010
JNJ,0000200406,NetCashProvidedByUsedInFinancingActivities,-4980000000.0,2011-01-02,2013-02-22,10-K,2012,FY,CY2010
JNJ,0000200406,PaymentsToAcquirePropertyPlantAndEquipment,2384000000.0,2011-01-02,2013-02-22,10-K,2012,FY,CY2010
JNJ,0000200406,WeightedAverageNumberOfSharesOutstandingBasic,2751400000.0,2011-01-02,2013-02-22,10-K,2012,FY,CY2010
JNJ,0000200406,WeightedAverageNumberOfDilutedSharesOutstanding,2788800000.0,2011-01-02,2013-02-22,10-K,2012,FY,CY2010
JNJ,0000200406,CashAndCashEquivalentsAtCarryingValue,19355000000.0,2011-01-02,2014-02-21,10-K,2013,FY,CY2010Q4I
JNJ,0000200406,Assets,108150000000.0,2011-04-03,2011-05-10,10-Q,2011,Q1,CY2011Q1I
JNJ,0000200406,AssetsCurrent,49221000000.0,2011-04-03,2011-05-10,10-Q,2011,Q1,CY2011Q1I
JNJ,0000200406,Liabilities,48287000000.0,2011-04-03,2011-05-10,10-Q,2011,Q1,CY2011Q1I
JNJ,0000200406,LiabilitiesCurrent,24011000000.0,2011-04-03,2011-05-10,10-Q,2011,Q1,CY2011Q1I
JNJ,0000200406,OperatingIncomeLoss,4726000000.0,2011-04-03,2012-05-07,10-Q,2012,Q1,CY2011Q1
JNJ,0000200406,CashAndCashEquivalentsAtCarryingValue,22356000000.0,2011-04-03,2012-05-07,10-Q,2012,Q1,CY2011Q1I
JNJ,0000200406,NetCashProvidedByUsedInOperatingActivities,2316000000.0,2011-04-03,2012-05-07,10-Q,2012,Q1,CY2011Q1
JNJ,0000200406,NetCashProvidedByUsedInInvestingActivities,1440000000.0,2011-04-03,2012-05-07,10-Q,2012,Q1,CY2011Q1
JNJ,0000200406,NetCashProvidedByUsedInFinancingActivities,-825000000.0,2011-04-03,2012-05-07,10-Q,2012,Q1,CY2011Q1
JNJ,0000200406,PaymentsToAcquirePropertyPlantAndEquipment,436000000.0,2011-04-03,2012-05-07,10-Q,2012,Q1,CY2011Q1
JNJ,0000200406,WeightedAverageNumberOfSharesOutstandingBasic,2738400000.0,2011-04-03,2012-05-07,10-Q,2012,Q1,CY2011Q1
JNJ,0000200406,WeightedAverageNumberOfDilutedSharesOutstanding,2772700000.0,2011-04-03,2012-05-07,10-Q,2012,Q1,CY2011Q1
JNJ,0000200406,GrossProfit,11395000000.0,2011-04-03,2013-02-22,10-K,2012,FY,CY2011Q1
JNJ,0000200406,NetIncomeLoss,3476000000.0,2011-04-03,2013-02-22,10-K,2012,FY,CY2011Q1
JNJ,0000200406,EarningsPerShareBasic,1.27,2011-04-03,2013-02-22,10-K,2012,FY,CY2011Q1
JNJ,0000200406,EarningsPerShareDiluted,1.25,2011-04-03,2013-02-22,10-K,2012,FY,CY2011Q1
JNJ,0000200406,Assets,112114000000.0,2011-07-03,2011-08-09,10-Q,2011,Q2,CY2011Q2I
JNJ,0000200406,AssetsCurrent,52673000000.0,2011-07-03,2011-08-09,10-Q,2011,Q2,CY2011Q2I
JNJ,0000200406,Liabilities,49982000000.0,2011-07-03,2011-08-09,10-Q,2011,Q2,CY2011Q2I
JNJ,0000200406,LiabilitiesCurrent,20985000000.0,2011-07-03,2011-08-09,10-Q,2011,Q2,CY2011Q2I
JNJ,0000200406,OperatingIncomeLoss,3538000000.0,2011-07-03,2012-08-02,10-Q,2012,Q2,CY2011Q2
JNJ,0000200406,CashAndCashEquivalentsAtCarryingValue,14974000000.0,2011-07-03,2012-08-02,10-Q,2012,Q2,CY2011Q2I
JNJ,0000200406,NetCashProvidedByUsedInOperatingActivities,6225000000.0,2011-07-03,2012-08-02,10-Q,2012,Q2,
JNJ,0000200406,NetCashProvidedByUsedInInvestingActivities,-9260000000.0,2011-07-03,2012-08-02,10-Q,2012,Q2,
JNJ,0000200406,NetCashProvidedByUsedInFinancingActivities,-1464000000.0,2011-07-03,2012-08-02,10-Q,2012,Q2,
JNJ,0000200406,PaymentsToAcquirePropertyPlantAndEquipment,1054000000.0,2011-07-03,2012-08-02,10-Q,2012,Q2,
JNJ,0000200406,WeightedAverageNumberOfSharesOutstandingBasic,2740500000.0,2011-07-03,2012-08-02,10-Q,2012,Q2,CY2011Q2
JNJ,0000200406,WeightedAverageNumberOfDilutedSharesOutstanding,2781300000.0,2011-07-03,2012-08-02,10-Q,2012,Q2,CY2011Q2
JNJ,0000200406,GrossProfit,11425000000.0,2011-07-03,2013-02-22,10-K,2012,FY,CY2011Q2
