ticker,cik,metric,value,date,filed_date,form,fiscal_year,fiscal_period,frame
PFE,0000078003,CashAndCashEquivalentsAtCarryingValue,1827000000.0,2006-12-31,2010-02-26,10-K,2009,FY,CY2006Q4I
PFE,0000078003,NetIncomeLoss,8144000000.0,2007-12-31,2010-02-26,10-K,2009,FY,CY2007
PFE,0000078003,EarningsPerShareBasic,1.18,2007-12-31,2010-02-26,10-K,2009,FY,CY2007
PFE,0000078003,EarningsPerShareDiluted,1.17,2007-12-31,2010-02-26,10-K,2009,FY,CY2007
PFE,0000078003,NetCashProvidedByUsedInOperatingActivities,13353000000.0,2007-12-31,2010-02-26,10-K,2009,FY,CY2007
PFE,0000078003,NetCashProvidedByUsedInInvestingActivities,795000000.0,2007-12-31,2010-02-26,10-K,2009,FY,CY2007
PFE,0000078003,NetCashProvidedByUsedInFinancingActivities,-12610000000.0,2007-12-31,2010-02-26,10-K,2009,FY,CY2007
PFE,0000078003,PaymentsToAcquirePropertyPlantAndEquipment,1880000000.0,2007-12-31,2010-02-26,10-K,2009,FY,CY2007
PFE,0000078003,WeightedAverageNumberOfSharesOutstandingBasic,6917000000.0,2007-12-31,2010-02-26,10-K,2009,FY,CY2007
PFE,0000078003,WeightedAverageNumberOfDilutedSharesOutstanding,6939000000.0,2007-12-31,2010-02-26,10-K,2009,FY,CY2007
PFE,0000078003,CashAndCashEquivalentsAtCarryingValue,3406000000.0,2007-12-31,2011-02-28,10-K,2010,FY,CY2007Q4I
PFE,0000078003,NetIncomeLoss,2776000000.0,2008-06-29,2009-08-06,10-Q,2009,Q2,CY2008Q2
PFE,0000078003,EarningsPerShareBasic,0.41,2008-06-29,2009-08-06,10-Q,2009,Q2,CY2008Q2
PFE,0000078003,EarningsPerShareDiluted,0.41,2008-06-29,2009-08-06,10-Q,2009,Q2,CY2008Q2
PFE,0000078003,CashAndCashEquivalentsAtCarryingValue,820000000.0,2008-06-29,2009-08-06,10-Q,2009,Q2,CY2008Q2I
PFE,0000078003,NetCashProvidedByUsedInOperatingActivities,8313000000.0,2008-06-29,2009-08-06,10-Q,2009,Q2,
PFE,0000078003,NetCashProvidedByUsedInInvestingActivities,-8948000000.0,2008-06-29,2009-08-06,10-Q,2009,Q2,
PFE,0000078003,NetCashProvidedByUsedInFinancingActivities,-1929000000.0,2008-06-29,2009-08-06,10-Q,2009,Q2,
PFE,0000078003,PaymentsToAcquirePropertyPlantAndEquipment,868000000.0,2008-06-29,2009-08-06,10-Q,2009,Q2,
