ticker,cik,metric,value,date,filed_date,form,fiscal_year,fiscal_period,frame
REGN,0000872589,CashAndCashEquivalentsAtCarryingValue,498925000.0,2007-12-31,2011-02-17,10-K,2010,FY,CY2007Q4I
REGN,0000872589,StockholdersEquity,459348000.0,2007-12-31,2011-02-17,10-K,2010,FY,CY2007Q4I
REGN,0000872589,Revenues,238457000.0,2008-12-31,2011-02-17,10-K,2010,FY,CY2008
REGN,0000872589,OperatingIncomeLoss,-86249000.0,2008-12-31,2011-02-17,10-K,2010,FY,CY2008
REGN,0000872589,NetIncomeLoss,-79129000.0,2008-12-31,2011-02-17,10-K,2010,FY,CY2008
REGN,0000872589,NetCashProvidedByUsedInOperatingActivities,-89086000.0,2008-12-31,2011-02-17,10-K,2010,FY,CY2008
REGN,0000872589,NetCashProvidedByUsedInInvestingActivities,30815000.0,2008-12-31,2011-02-17,10-K,2010,FY,CY2008
REGN,0000872589,NetCashProvidedByUsedInFinancingActivities,-192858000.0,2008-12-31,2011-02-17,10-K,2010,FY,CY2008
REGN,0000872589,ResearchAndDevelopmentExpense,274903000.0,2008-12-31,2011-02-17,10-K,2010,FY,CY2008
REGN,0000872589,CashAndCashEquivalentsAtCarryingValue,247796000.0,2008-12-31,2012-02-21,10-K,2011,FY,CY2008Q4I
REGN,0000872589,StockholdersEquity,421514000.0,2008-12-31,2012-02-21,10-K,2011,FY,CY2008Q4I
REGN,0000872589,Revenues,90032000.0,2009-06-30,2010-07-28,10-Q,2010,Q2,CY2009Q2
REGN,0000872589,OperatingIncomeLoss,-16266000.0,2009-06-30,2010-07-28,10-Q,2010,Q2,CY2009Q2
REGN,0000872589,NetIncomeLoss,-14938000.0,2009-06-30,2010-07-28,10-Q,2010,Q2,CY2009Q2
REGN,0000872589,CashAndCashEquivalentsAtCarryingValue,271466000.0,2009-06-30,2010-07-28,10-Q,2010,Q2,CY2009Q2I
REGN,0000872589,StockholdersEquity,410506000.0,2009-06-30,2010-07-28,10-Q,2010,Q2,CY2009Q2I
REGN,0000872589,NetCashProvidedByUsedInOperatingActivities,-16004000.0,2009-06-30,2010-07-28,10-Q,2010,Q2,
REGN,0000872589,NetCashProvidedByUsedInInvestingActivities,32787000.0,2009-06-30,2010-07-28,10-Q,2010,Q2,
REGN,0000872589,NetCashProvidedByUsedInFinancingActivities,6887000.0,2009-06-30,2010-07-28,10-Q,2010,Q2,
REGN,0000872589,ResearchAndDevelopmentExpense,94231000.0,2009-06-30,2010-07-28,10-Q,2010,Q2,CY2009Q2
REGN,0000872589,Revenues,117455000.0,2009-09-30,2010-10-28,10-Q,2010,Q3,CY2009Q3
REGN,0000872589,OperatingIncomeLoss,-1291000.0,2009-09-30,2010-10-28,10-Q,2010,Q3,CY2009Q3
REGN,0000872589,NetIncomeLoss,-1015000.0,2009-09-30,2010-10-28,10-Q,2010,Q3,CY2009Q3
REGN,0000872589,CashAndCashEquivalentsAtCarryingValue,250321000.0,2009-09-30,2010-10-28,10-Q,2010,Q3,CY2009Q3I
REGN,0000872589,StockholdersEquity,422443000.0,2009-09-30,2010-10-28,10-Q,2010,Q3,CY2009Q3I
REGN,0000872589,NetCashProvidedByUsedInOperatingActivities,-25826000.0,2009-09-30,2010-10-28,10-Q,2010,Q3,
REGN,0000872589,NetCashProvidedByUsedInInvestingActivities,19316000.0,2009-09-30,2010-10-28,10-Q,2010,Q3,
REGN,0000872589,NetCashProvidedByUsedInFinancingActivities,9035000.0,2009-09-30,2010-10-28,10-Q,2010,Q3,
REGN,0000872589,ResearchAndDevelopmentExpense,105434000.0,2009-09-30,2010-10-28,10-Q,2010,Q3,CY2009Q3
REGN,0000872589,Assets,741202000.0,2009-12-31,2011-02-17,10-K,2010,FY,CY2009Q4I
REGN,0000872589,AssetsCurrent,425508000.0,2009-12-31,2011-02-17,10-K,2010,FY,CY2009Q4I
REGN,0000872589,Liabilities,344440000.0,2009-12-31,2011-02-17,10-K,2010,FY,CY2009Q4I
REGN,0000872589,LiabilitiesCurrent,93575000.0,2009-12-31,2011-02-17,10-K,2010,FY,CY2009Q4I
REGN,0000872589,Revenues,379268000.0,2009-12-31,2012-02-21,10-K,2011,FY,CY2009
REGN,0000872589,OperatingIncomeLoss,-74103000.0,2009-12-31,2012-02-21,10-K,2011,FY,CY2009
REGN,0000872589,NetIncomeLoss,-67830000.0,2009-12-31,2012-02-21,10-K,2011,FY,CY2009
REGN,0000872589,NetCashProvidedByUsedInOperatingActivities,-69936000.0,2009-12-31,2012-02-21,10-K,2011,FY,CY2009
REGN,0000872589,NetCashProvidedByUsedInInvestingActivities,-2148000.0,2009-12-31,2012-02-21,10-K,2011,FY,CY2009
REGN,0000872589,NetCashProvidedByUsedInFinancingActivities,31363000.0,2009-12-31,2012-02-21,10-K,2011,FY,CY2009
