ticker,cik,metric,value,date,filed_date,form,fiscal_year,fiscal_period,frame
UNH,0000731766,CashAndCashEquivalentsAtCarryingValue,10320000000.0,2006-12-31,2010-02-10,10-K,2009,FY,CY2006Q4I
UNH,0000731766,StockholdersEquity,20810000000.0,2006-12-31,2010-02-10,10-K,2009,FY,CY2006Q4I
UNH,0000731766,Revenues,75431000000.0,2007-12-31,2010-02-10,10-K,2009,FY,CY2007
UNH,0000731766,OperatingIncomeLoss,7849000000.0,2007-12-31,2010-02-10,10-K,2009,FY,CY2007
UNH,0000731766,NetIncomeLoss,4654000000.0,2007-12-31,2010-02-10,10-K,2009,FY,CY2007
UNH,0000731766,EarningsPerShareBasic,3.55,2007-12-31,2010-02-10,10-K,2009,FY,CY2007
UNH,0000731766,EarningsPerShareDiluted,3.42,2007-12-31,2010-02-10,10-K,2009,FY,CY2007
UNH,0000731766,NetCashProvidedByUsedInOperatingActivities,5877000000.0,2007-12-31,2010-02-10,10-K,2009,FY,CY2007
UNH,0000731766,NetCashProvidedByUsedInInvestingActivities,-4147000000.0,2007-12-31,2010-02-10,10-K,2009,FY,CY2007
UNH,0000731766,NetCashProvidedByUsedInFinancingActivities,-3185000000.0,2007-12-31,2010-02-10,10-K,2009,FY,CY2007
UNH,0000731766,PaymentsToAcquirePropertyPlantAndEquipment,871000000.0,2007-12-31,2010-02-10,10-K,2009,FY,CY2007
UNH,0000731766,WeightedAverageNumberOfSharesOutstandingBasic,1312000000.0,2007-12-31,2010-02-10,10-K,2009,FY,CY2007
UNH,0000731766,WeightedAverageNumberOfDilutedSharesOutstanding,1361000000.0,2007-12-31,2010-02-10,10-K,2009,FY,CY2007
UNH,0000731766,CashAndCashEquivalentsAtCarryingValue,8865000000.0,2007-12-31,2011-02-10,10-K,2010,FY,
UNH,0000731766,StockholdersEquity,20063000000.0,2007-12-31,2011-02-10,10-K,2010,FY,
UNH,0000731766,Revenues,20272000000.0,2008-06-30,2009-08-06,10-Q,2009,Q2,CY2008Q2
UNH,0000731766,OperatingIncomeLoss,673000000.0,2008-06-30,2009-08-06,10-Q,2009,Q2,CY2008Q2
UNH,0000731766,NetIncomeLoss,337000000.0,2008-06-30,2009-08-06,10-Q,2009,Q2,CY2008Q2
UNH,0000731766,EarningsPerShareBasic,0.28,2008-06-30,2009-08-06,10-Q,2009,Q2,CY2008Q2
UNH,0000731766,EarningsPerShareDiluted,0.27,2008-06-30,2009-08-06,10-Q,2009,Q2,CY2008Q2
UNH,0000731766,CashAndCashEquivalentsAtCarryingValue,5273000000.0,2008-06-30,2009-08-06,10-Q,2009,Q2,CY2008Q2I
UNH,0000731766,NetCashProvidedByUsedInOperatingActivities,880000000.0,2008-06-30,2009-08-06,10-Q,2009,Q2,
UNH,0000731766,NetCashProvidedByUsedInInvestingActivities,-5070000000.0,2008-06-30,2009-08-06,10-Q,2009,Q2,
UNH,0000731766,NetCashProvidedByUsedInFinancingActivities,598000000.0,2008-06-30,2009-08-06,10-Q,2009,Q2,
UNH,0000731766,PaymentsToAcquirePropertyPlantAndEquipment,415000000.0,2008-06-30,2009-08-06,10-Q,2009,Q2,
UNH,0000731766,WeightedAverageNumberOfSharesOutstandingBasic,1216000000.0,2008-06-30,2009-08-06,10-Q,2009,Q2,CY2008Q2
UNH,0000731766,WeightedAverageNumberOfDilutedSharesOutstanding,1245000000.0,2008-06-30,2009-08-06,10-Q,2009,Q2,CY2008Q2
UNH,0000731766,Revenues,20156000000.0,2008-09-30,2009-11-03,10-Q,2009,Q3,CY2008Q3
UNH,0000731766,OperatingIncomeLoss,1598000000.0,2008-09-30,2009-11-03,10-Q,2009,Q3,CY2008Q3
UNH,0000731766,NetIncomeLoss,920000000.0,2008-09-30,2009-11-03,10-Q,2009,Q3,CY2008Q3
UNH,0000731766,EarningsPerShareBasic,0.76,2008-09-30,2009-11-03,10-Q,2009,Q3,CY2008Q3
UNH,0000731766,EarningsPerShareDiluted,0.75,2008-09-30,2009-11-03,10-Q,2009,Q3,CY2008Q3
UNH,0000731766,CashAndCashEquivalentsAtCarryingValue,6081000000.0,2008-09-30,2009-11-03,10-Q,2009,Q3,CY2008Q3I
UNH,0000731766,NetCashProvidedByUsedInOperatingActivities,2637000000.0,2008-09-30,2009-11-03,10-Q,2009,Q3,
UNH,0000731766,NetCashProvidedByUsedInInvestingActivities,-5350000000.0,2008-09-30,2009-11-03,10-Q,2009,Q3,
UNH,0000731766,NetCashProvidedByUsedInFinancingActivities,-71000000.0,2008-09-30,2009-11-03,10-Q,2009,Q3,
UNH,0000731766,PaymentsToAcquirePropertyPlantAndEquipment,598000000.0,2008-09-30,2009-11-03,10-Q,2009,Q3,
UNH,0000731766,WeightedAverageNumberOfSharesOutstandingBasic,1204000000.0,2008-09-30,2009-11-03,10-Q,2009,Q3,CY2008Q3
UNH,0000731766,WeightedAverageNumberOfDilutedSharesOutstanding,1227000000.0,2008-09-30,2009-11-03,10-Q,2009,Q3,CY2008Q3
UNH,0000731766,Assets,55815000000.0,2008-12-31,2010-02-10,10-K,2009,FY,CY2008Q4I
UNH,0000731766,AssetsCurrent,14990000000.0,2008-12-31,2010-02-10,10-K,2009,FY,CY2008Q4I
UNH,0000731766,Liabilities,35035000000.0,2008-12-31,2010-02-10,10-K,2009,FY,CY2008Q4I
UNH,0000731766,LiabilitiesCurrent,19761000000.0,2008-12-31,2010-02-10,10-K,2009,FY,CY2008Q4I
UNH,0000731766,Revenues,81186000000.0,2008-12-31,2011-02-10,10-K,2010,FY,
UNH,0000731766,OperatingIncomeLoss,5263000000.0,2008-12-31,2011-02-10,10-K,2010,FY,
UNH,0000731766,NetIncomeLoss,2977000000.0,2008-12-31,2011-02-10,10-K,2010,FY,
UNH,0000731766,EarningsPerShareBasic,2.45,2008-12-31,2011-02-10,10-K,2010,FY,
UNH,0000731766,EarningsPerShareDiluted,2.4,2008-12-31,2011-02-10,10-K,2010,FY,
UNH,0000731766,NetCashProvidedByUsedInOperatingActivities,4238000000.0,2008-12-31,2011-02-10,10-K,2010,FY,
UNH,0000731766,NetCashProvidedByUsedInInvestingActivities,-5072000000.0,2008-12-31,2011-02-10,10-K,2010,FY,
UNH,0000731766,NetCashProvidedByUsedInFinancingActivities,-605000000.0,2008-12-31,2011-02-10,10-K,2010,FY,
UNH,0000731766,PaymentsToAcquirePropertyPlantAndEquipment,791000000.0,2008-12-31,2011-02-10,10-K,2010,FY,
UNH,0000731766,WeightedAverageNumberOfSharesOutstandingBasic,1214000000.0,2008-12-31,2011-02-10,10-K,2010,FY,
UNH,0000731766,WeightedAverageNumberOfDilutedSharesOutstanding,1241000000.0,2008-12-31,2011-02-10,10-K,2010,FY,
UNH,0000731766,CashAndCashEquivalentsAtCarryingValue,7426000000.0,2008-12-31,2012-02-09,10-K,2011,FY,CY2008Q4I
UNH,0000731766,StockholdersEquity,20780000000.0,2008-12-31,2012-02-09,10-K,2011,FY,CY2008Q4I
UNH,0000731766,CashAndCashEquivalentsAtCarryingValue,7887000000.0,2009-03-31,2010-05-05,10-Q,2010,Q1,CY2009Q1I
UNH,0000731766,StockholdersEquity,21375000000.0,2009-03-31,2010-05-05,10-Q,2010,Q1,CY2009Q1I
UNH,0000731766,NetCashProvidedByUsedInOperatingActivities,1112000000.0,2009-03-31,2010-05-05,10-Q,2010,Q1,CY2009Q1
UNH,0000731766,NetCashProvidedByUsedInInvestingActivities,-156000000.0,2009-03-31,2010-05-05,10-Q,2010,Q1,CY2009Q1
UNH,0000731766,NetCashProvidedByUsedInFinancingActivities,-495000000.0,2009-03-31,2010-05-05,10-Q,2010,Q1,CY2009Q1
