ticker,cik,metric,value,date,filed_date,form,fiscal_year,fiscal_period,frame
CRM,0001108524,CashAndCashEquivalentsAtCarryingValue,86608000.0,2007-01-31,2010-03-11,10-K,2009,FY,CY2006Q4I
CRM,0001108524,Revenues,748700000.0,2008-01-31,2010-03-11,10-K,2009,FY,CY2007
CRM,0001108524,CostOfRevenue,171591000.0,2008-01-31,2010-03-11,10-K,2009,FY,CY2007
CRM,0001108524,GrossProfit,577109000.0,2008-01-31,2010-03-11,10-K,2009,FY,CY2007
CRM,0001108524,OperatingIncomeLoss,20309000.0,2008-01-31,2010-03-11,10-K,2009,FY,CY2007
CRM,0001108524,NetIncomeLoss,18356000.0,2008-01-31,2010-03-11,10-K,2009,FY,CY2007
CRM,0001108524,NetCashProvidedByUsedInOperatingActivities,204275000.0,2008-01-31,2010-03-11,10-K,2009,FY,CY2007
CRM,0001108524,NetCashProvidedByUsedInInvestingActivities,-102709000.0,2008-01-31,2010-03-11,10-K,2009,FY,CY2007
CRM,0001108524,NetCashProvidedByUsedInFinancingActivities,92713000.0,2008-01-31,2010-03-11,10-K,2009,FY,CY2007
CRM,0001108524,PaymentsToAcquirePropertyPlantAndEquipment,43552000.0,2008-01-31,2010-03-11,10-K,2009,FY,CY2007
CRM,0001108524,ResearchAndDevelopmentExpense,63812000.0,2008-01-31,2010-03-11,10-K,2009,FY,CY2007
CRM,0001108524,WeightedAverageNumberOfSharesOutstandingBasic,116840000.0,2008-01-31,2010-03-11,10-K,2009,FY,CY2007
CRM,0001108524,WeightedAverageNumberOfDilutedSharesOutstanding,122422000.0,2008-01-31,2010-03-11,10-K,2009,FY,CY2007
CRM,0001108524,CashAndCashEquivalentsAtCarryingValue,279095000.0,2008-01-31,2011-03-23,10-K,2010,FY,CY2007Q4I
CRM,0001108524,CashAndCashEquivalentsAtCarryingValue,378548000.0,2008-04-30,2009-08-25,10-Q,2009,Q2,CY2008Q1I
CRM,0001108524,Revenues,263077000.0,2008-07-31,2009-08-25,10-Q,2009,Q2,CY2008Q2
CRM,0001108524,CostOfRevenue,54091000.0,2008-07-31,2009-08-25,10-Q,2009,Q2,CY2008Q2
CRM,0001108524,GrossProfit,208986000.0,2008-07-31,2009-08-25,10-Q,2009,Q2,CY2008Q2
CRM,0001108524,OperatingIncomeLoss,16098000.0,2008-07-31,2009-08-25,10-Q,2009,Q2,CY2008Q2
CRM,0001108524,NetIncomeLoss,9996000.0,2008-07-31,2009-08-25,10-Q,2009,Q2,CY2008Q2
CRM,0001108524,NetCashProvidedByUsedInOperatingActivities,53075000.0,2008-07-31,2009-08-25,10-Q,2009,Q2,CY2008Q2
CRM,0001108524,NetCashProvidedByUsedInInvestingActivities,-38154000.0,2008-07-31,2009-08-25,10-Q,2009,Q2,CY2008Q2
CRM,0001108524,NetCashProvidedByUsedInFinancingActivities,34368000.0,2008-07-31,2009-08-25,10-Q,2009,Q2,CY2008Q2
CRM,0001108524,PaymentsToAcquirePropertyPlantAndEquipment,13036000.0,2008-07-31,2009-08-25,10-Q,2009,Q2,CY2008Q2
CRM,0001108524,ResearchAndDevelopmentExpense,24033000.0,2008-07-31,2009-08-25,10-Q,2009,Q2,CY2008Q2
CRM,0001108524,WeightedAverageNumberOfSharesOutstandingBasic,120863000.0,2008-07-31,2009-08-25,10-Q,2009,Q2,CY2008Q2
CRM,0001108524,WeightedAverageNumberOfDilutedSharesOutstanding,125626000.0,2008-07-31,2009-08-25,10-Q,2009,Q2,CY2008Q2
CRM,0001108524,CashAndCashEquivalentsAtCarryingValue,427043000.0,2008-07-31,2009-11-25,10-Q,2009,Q3,CY2008Q2I
CRM,0001108524,Revenues,276487000.0,2008-10-31,2009-11-25,10-Q,2009,Q3,CY2008Q3
CRM,0001108524,CostOfRevenue,56348000.0,2008-10-31,2009-11-25,10-Q,2009,Q3,CY2008Q3
CRM,0001108524,GrossProfit,220139000.0,2008-10-31,2009-11-25,10-Q,2009,Q3,CY2008Q3
CRM,0001108524,OperatingIncomeLoss,16133000.0,2008-10-31,2009-11-25,10-Q,2009,Q3,CY2008Q3
CRM,0001108524,NetIncomeLoss,10124000.0,2008-10-31,2009-11-25,10-Q,2009,Q3,CY2008Q3
CRM,0001108524,CashAndCashEquivalentsAtCarryingValue,382314000.0,2008-10-31,2009-11-25,10-Q,2009,Q3,CY2008Q3I
CRM,0001108524,NetCashProvidedByUsedInOperatingActivities,17121000.0,2008-10-31,2009-11-25,10-Q,2009,Q3,CY2008Q3
CRM,0001108524,NetCashProvidedByUsedInInvestingActivities,-85914000.0,2008-10-31,2009-11-25,10-Q,2009,Q3,CY2008Q3
CRM,0001108524,NetCashProvidedByUsedInFinancingActivities,24015000.0,2008-10-31,2009-11-25,10-Q,2009,Q3,CY2008Q3
CRM,0001108524,PaymentsToAcquirePropertyPlantAndEquipment,11614000.0,2008-10-31,2009-11-25,10-Q,2009,Q3,CY2008Q3
CRM,0001108524,ResearchAndDevelopmentExpense,26270000.0,2008-10-31,2009-11-25,10-Q,2009,Q3,CY2008Q3
CRM,0001108524,WeightedAverageNumberOfSharesOutstandingBasic,121635000.0,2008-10-31,2009-11-25,10-Q,2009,Q3,CY2008Q3
CRM,0001108524,WeightedAverageNumberOfDilutedSharesOutstanding,125133000.0,2008-10-31,2009-11-25,10-Q,2009,Q3,CY2008Q3
CRM,0001108524,Assets,1479822000.0,2009-01-31,2010-03-11,10-K,2009,FY,CY2008Q4I
CRM,0001108524,AssetsCurrent,1068557000.0,2009-01-31,2010-03-11,10-K,2009,FY,CY2008Q4I
CRM,0001108524,Liabilities,797335000.0,2009-01-31,2010-03-11,10-K,2009,FY,CY2008Q4I
CRM,0001108524,LiabilitiesCurrent,766966000.0,2009-01-31,2010-03-11,10-K,2009,FY,CY2008Q4I
CRM,0001108524,StockholdersEquity,671784000.0,2009-01-31,2010-03-11,10-K,2009,FY,CY2008Q4I
CRM,0001108524,Revenues,1076769000.0,2009-01-31,2011-03-23,10-K,2010,FY,CY2008
CRM,0001108524,CostOfRevenue,220471000.0,2009-01-31,2011-03-23,10-K,2010,FY,CY2008
CRM,0001108524,GrossProfit,856298000.0,2009-01-31,2011-03-23,10-K,2010,FY,CY2008
CRM,0001108524,OperatingIncomeLoss,63742000.0,2009-01-31,2011-03-23,10-K,2010,FY,CY2008
CRM,0001108524,NetIncomeLoss,43428000.0,2009-01-31,2011-03-23,10-K,2010,FY,CY2008
CRM,0001108524,NetCashProvidedByUsedInOperatingActivities,229557000.0,2009-01-31,2011-03-23,10-K,2010,FY,CY2008
CRM,0001108524,NetCashProvidedByUsedInInvestingActivities,-99375000.0,2009-01-31,2011-03-23,10-K,2010,FY,CY2008
CRM,0001108524,NetCashProvidedByUsedInFinancingActivities,75289000.0,2009-01-31,2011-03-23,10-K,2010,FY,CY2008
CRM,0001108524,PaymentsToAcquirePropertyPlantAndEquipment,61059000.0,2009-01-31,2011-03-23,10-K,2010,FY,CY2008
CRM,0001108524,ResearchAndDevelopmentExpense,99530000.0,2009-01-31,2011-03-23,10-K,2010,FY,CY2008
CRM,0001108524,WeightedAverageNumberOfSharesOutstandingBasic,121183000.0,2009-01-31,2011-03-23,10-K,2010,FY,CY2008
CRM,0001108524,WeightedAverageNumberOfDilutedSharesOutstanding,125228000.0,2009-01-31,2011-03-23,10-K,2010,FY,CY2008
CRM,0001108524,CashAndCashEquivalentsAtCarryingValue,483834000.0,2009-01-31,2012-03-09,10-K,2011,FY,CY2008Q4I
CRM,0001108524,CostOfRevenue,61800000.0,2009-04-30,2010-05-28,10-Q,2010,Q1,CY2009Q1
CRM,0001108524,NetCashProvidedByUsedInOperatingActivities,97976000.0,2009-04-30,2010-05-28,10-Q,2010,Q1,CY2009Q1
CRM,0001108524,NetCashProvidedByUsedInInvestingActivities,-256066000.0,2009-04-30,2010-05-28,10-Q,2010,Q1,CY2009Q1
CRM,0001108524,NetCashProvidedByUsedInFinancingActivities,17368000.0,2009-04-30,2010-05-28,10-Q,2010,Q1,CY2009Q1
CRM,0001108524,PaymentsToAcquirePropertyPlantAndEquipment,13428000.0,2009-04-30,2010-05-28,10-Q,2010,Q1,CY2009Q1
CRM,0001108524,ResearchAndDevelopmentExpense,31584000.0,2009-04-30,2010-05-28,10-Q,2010,Q1,CY2009Q1
CRM,0001108524,WeightedAverageNumberOfSharesOutstandingBasic,123206000.0,2009-04-30,2010-05-28,10-Q,2010,Q1,CY2009Q1
CRM,0001108524,WeightedAverageNumberOfDilutedSharesOutstanding,125349000.0,2009-04-30,2010-05-28,10-Q,2010,Q1,CY2009Q1
CRM,0001108524,CashAndCashEquivalentsAtCarryingValue,341705000.0,2009-04-30,2010-09-09,10-Q,2010,Q2,CY2009Q1I
CRM,0001108524,Revenues,304924000.0,2009-04-30,2011-03-23,10-K,2010,FY,CY2009Q1
CRM,0001108524,GrossProfit,243124000.0,2009-04-30,2011-03-23,10-K,2010,FY,CY2009Q1
CRM,0001108524,OperatingIncomeLoss,30123000.0,2009-04-30,2011-03-23,10-K,2010,FY,CY2009Q1
CRM,0001108524,NetIncomeLoss,18436000.0,2009-04-30,2011-03-23,10-K,2010,FY,CY2009Q1
CRM,0001108524,Assets,1556527000.0,2009-07-31,2009-08-25,10-Q,2009,Q2,CY2009Q2I
CRM,0001108524,AssetsCurrent,701318000.0,2009-07-31,2009-08-25,10-Q,2009,Q2,CY2009Q2I
CRM,0001108524,Liabilities,754137000.0,2009-07-31,2009-08-25,10-Q,2009,Q2,CY2009Q2I
CRM,0001108524,LiabilitiesCurrent,712588000.0,2009-07-31,2009-08-25,10-Q,2009,Q2,CY2009Q2I
CRM,0001108524,StockholdersEquity,791117000.0,2009-07-31,2009-08-25,10-Q,2009,Q2,CY2009Q2I
CRM,0001108524,CostOfRevenue,62496000.0,2009-07-31,2010-09-09,10-Q,2010,Q2,CY2009Q2
CRM,0001108524,EarningsPerShareBasic,0.17,2009-07-31,2010-09-09,10-Q,2010,Q2,CY2009Q2
CRM,0001108524,EarningsPerShareDiluted,0.17,2009-07-31,2010-09-09,10-Q,2010,Q2,CY2009Q2
CRM,0001108524,NetCashProvidedByUsedInOperatingActivities,45855000.0,2009-07-31,2010-09-09,10-Q,2010,Q2,CY2009Q2
CRM,0001108524,NetCashProvidedByUsedInInvestingActivities,-157721000.0,2009-07-31,2010-09-09,10-Q,2010,Q2,CY2009Q2
CRM,0001108524,NetCashProvidedByUsedInFinancingActivities,18568000.0,2009-07-31,2010-09-09,10-Q,2010,Q2,CY2009Q2
