ticker,cik,metric,value,date,filed_date,form,fiscal_year,fiscal_period,frame
GOOGL,0001652044,CashAndCashEquivalentsAtCarryingValue,14778000000.0,2012-12-31,2016-02-11,10-K,2015,FY,
GOOGL,0001652044,StockholdersEquity,71570000000.0,2012-12-31,2016-02-11,10-K,2015,FY,
GOOGL,0001652044,Revenues,55519000000.0,2013-12-31,2016-02-11,10-K,2015,FY,
GOOGL,0001652044,CostOfRevenue,21993000000.0,2013-12-31,2016-02-11,10-K,2015,FY,
GOOGL,0001652044,OperatingIncomeLoss,15403000000.0,2013-12-31,2016-02-11,10-K,2015,FY,
GOOGL,0001652044,NetIncomeLoss,12733000000.0,2013-12-31,2016-02-11,10-K,2015,FY,
GOOGL,0001652044,EarningsPerShareBasic,19.13,2013-12-31,2016-02-11,10-K,2015,FY,
GOOGL,0001652044,EarningsPerShareDiluted,18.79,2013-12-31,2016-02-11,10-K,2015,FY,
GOOGL,0001652044,NetCashProvidedByUsedInOperatingActivities,18659000000.0,2013-12-31,2016-02-11,10-K,2015,FY,
GOOGL,0001652044,NetCashProvidedByUsedInInvestingActivities,-13679000000.0,2013-12-31,2016-02-11,10-K,2015,FY,
GOOGL,0001652044,NetCashProvidedByUsedInFinancingActivities,-857000000.0,2013-12-31,2016-02-11,10-K,2015,FY,
GOOGL,0001652044,PaymentsToAcquirePropertyPlantAndEquipment,7358000000.0,2013-12-31,2016-02-11,10-K,2015,FY,
GOOGL,0001652044,ResearchAndDevelopmentExpense,7137000000.0,2013-12-31,2016-02-11,10-K,2015,FY,
GOOGL,0001652044,CashAndCashEquivalentsAtCarryingValue,18898000000.0,2013-12-31,2017-02-03,10-K,2016,FY,CY2013Q4I
GOOGL,0001652044,StockholdersEquity,86977000000.0,2013-12-31,2017-02-03,10-K,2016,FY,CY2013Q4I
GOOGL,0001652044,Revenues,16523000000.0,2014-09-30,2015-10-29,10-Q,2015,Q3,CY2014Q3
GOOGL,0001652044,CostOfRevenue,6695000000.0,2014-09-30,2015-10-29,10-Q,2015,Q3,CY2014Q3
GOOGL,0001652044,OperatingIncomeLoss,3724000000.0,2014-09-30,2015-10-29,10-Q,2015,Q3,CY2014Q3
GOOGL,0001652044,NetIncomeLoss,2739000000.0,2014-09-30,2015-10-29,10-Q,2015,Q3,CY2014Q3
GOOGL,0001652044,EarningsPerShareBasic,4.05,2014-09-30,2015-10-29,10-Q,2015,Q3,CY2014Q3
GOOGL,0001652044,EarningsPerShareDiluted,3.98,2014-09-30,2015-10-29,10-Q,2015,Q3,CY2014Q3
GOOGL,0001652044,CashAndCashEquivalentsAtCarryingValue,15605000000.0,2014-09-30,2015-10-29,10-Q,2015,Q3,CY2014Q3I
GOOGL,0001652044,NetCashProvidedByUsedInOperatingActivities,16012000000.0,2014-09-30,2015-10-29,10-Q,2015,Q3,
GOOGL,0001652044,NetCashProvidedByUsedInInvestingActivities,-17814000000.0,2014-09-30,2015-10-29,10-Q,2015,Q3,
GOOGL,0001652044,NetCashProvidedByUsedInFinancingActivities,-1095000000.0,2014-09-30,2015-10-29,10-Q,2015,Q3,
GOOGL,0001652044,PaymentsToAcquirePropertyPlantAndEquipment,7408000000.0,2014-09-30,2015-10-29,10-Q,2015,Q3,
GOOGL,0001652044,ResearchAndDevelopmentExpense,2655000000.0,2014-09-30,2015-10-29,10-Q,2015,Q3,CY2014Q3
GOOGL,0001652044,EarningsPerShareBasic,20.91,2014-12-31,2016-02-11,10-K,2015,FY,
GOOGL,0001652044,EarningsPerShareDiluted,20.57,2014-12-31,2016-02-11,10-K,2015,FY,
GOOGL,0001652044,Assets,129187000000.0,2014-12-31,2016-02-11,10-K,2015,FY,
GOOGL,0001652044,AssetsCurrent,78656000000.0,2014-12-31,2016-02-11,10-K,2015,FY,
GOOGL,0001652044,LiabilitiesCurrent,16779000000.0,2014-12-31,2016-02-11,10-K,2015,FY,
GOOGL,0001652044,Revenues,66001000000.0,2014-12-31,2017-02-03,10-K,2016,FY,CY2014
GOOGL,0001652044,CostOfRevenue,25691000000.0,2014-12-31,2017-02-03,10-K,2016,FY,CY2014
GOOGL,0001652044,OperatingIncomeLoss,16496000000.0,2014-12-31,2017-02-03,10-K,2016,FY,CY2014
GOOGL,0001652044,NetIncomeLoss,14136000000.0,2014-12-31,2017-02-03,10-K,2016,FY,CY2014
GOOGL,0001652044,NetCashProvidedByUsedInOperatingActivities,23024000000.0,2014-12-31,2017-02-03,10-K,2016,FY,CY2014
GOOGL,0001652044,NetCashProvidedByUsedInInvestingActivities,-21055000000.0,2014-12-31,2017-02-03,10-K,2016,FY,CY2014
GOOGL,0001652044,NetCashProvidedByUsedInFinancingActivities,-2087000000.0,2014-12-31,2017-02-03,10-K,2016,FY,CY2014
GOOGL,0001652044,PaymentsToAcquirePropertyPlantAndEquipment,11014000000.0,2014-12-31,2017-02-03,10-K,2016,FY,CY2014
GOOGL,0001652044,ResearchAndDevelopmentExpense,9832000000.0,2014-12-31,2017-02-03,10-K,2016,FY,CY2014
GOOGL,0001652044,CashAndCashEquivalentsAtCarryingValue,18347000000.0,2014-12-31,2018-02-06,10-K,2017,FY,CY2014Q4I
GOOGL,0001652044,StockholdersEquity,103860000000.0,2014-12-31,2018-02-06,10-K,2017,FY,CY2014Q4I
GOOGL,0001652044,EarningsPerShareBasic,5.16,2015-03-31,2015-10-29,10-Q,2015,Q3,CY2015Q1
GOOGL,0001652044,EarningsPerShareDiluted,5.1,2015-03-31,2015-10-29,10-Q,2015,Q3,CY2015Q1
GOOGL,0001652044,Revenues,17258000000.0,2015-03-31,2016-05-03,10-Q,2016,Q1,CY2015Q1
GOOGL,0001652044,CostOfRevenue,6356000000.0,2015-03-31,2016-05-03,10-Q,2016,Q1,CY2015Q1
GOOGL,0001652044,OperatingIncomeLoss,4447000000.0,2015-03-31,2016-05-03,10-Q,2016,Q1,CY2015Q1
GOOGL,0001652044,NetIncomeLoss,3515000000.0,2015-03-31,2016-05-03,10-Q,2016,Q1,CY2015Q1
GOOGL,0001652044,CashAndCashEquivalentsAtCarryingValue,16976000000.0,2015-03-31,2016-05-03,10-Q,2016,Q1,CY2015Q1I
GOOGL,0001652044,NetCashProvidedByUsedInOperatingActivities,6722000000.0,2015-03-31,2016-05-03,10-Q,2016,Q1,CY2015Q1
GOOGL,0001652044,NetCashProvidedByUsedInInvestingActivities,-7304000000.0,2015-03-31,2016-05-03,10-Q,2016,Q1,CY2015Q1
GOOGL,0001652044,NetCashProvidedByUsedInFinancingActivities,-496000000.0,2015-03-31,2016-05-03,10-Q,2016,Q1,CY2015Q1
GOOGL,0001652044,PaymentsToAcquirePropertyPlantAndEquipment,2927000000.0,2015-03-31,2016-05-03,10-Q,2016,Q1,CY2015Q1
GOOGL,0001652044,ResearchAndDevelopmentExpense,2753000000.0,2015-03-31,2016-05-03,10-Q,2016,Q1,CY2015Q1
GOOGL,0001652044,Revenues,17727000000.0,2015-06-30,2016-08-04,10-Q,2016,Q2,CY2015Q2
GOOGL,0001652044,CostOfRevenue,6583000000.0,2015-06-30,2016-08-04,10-Q,2016,Q2,CY2015Q2
GOOGL,0001652044,OperatingIncomeLoss,4825000000.0,2015-06-30,2016-08-04,10-Q,2016,Q2,CY2015Q2
GOOGL,0001652044,NetIncomeLoss,3931000000.0,2015-06-30,2016-08-04,10-Q,2016,Q2,CY2015Q2
GOOGL,0001652044,CashAndCashEquivalentsAtCarryingValue,18453000000.0,2015-06-30,2016-08-04,10-Q,2016,Q2,CY2015Q2I
GOOGL,0001652044,NetCashProvidedByUsedInOperatingActivities,13818000000.0,2015-06-30,2016-08-04,10-Q,2016,Q2,
GOOGL,0001652044,NetCashProvidedByUsedInInvestingActivities,-12407000000.0,2015-06-30,2016-08-04,10-Q,2016,Q2,
GOOGL,0001652044,NetCashProvidedByUsedInFinancingActivities,-1057000000.0,2015-06-30,2016-08-04,10-Q,2016,Q2,
GOOGL,0001652044,PaymentsToAcquirePropertyPlantAndEquipment,2515000000.0,2015-06-30,2016-08-04,10-Q,2016,Q2,CY2015Q2
GOOGL,0001652044,ResearchAndDevelopmentExpense,2789000000.0,2015-06-30,2016-08-04,10-Q,2016,Q2,CY2015Q2
GOOGL,0001652044,Assets,144281000000.0,2015-09-30,2015-10-29,10-Q,2015,Q3,CY2015Q3I
GOOGL,0001652044,AssetsCurrent,88103000000.0,2015-09-30,2015-10-29,10-Q,2015,Q3,CY2015Q3I
GOOGL,0001652044,LiabilitiesCurrent,18457000000.0,2015-09-30,2015-10-29,10-Q,2015,Q3,CY2015Q3I
GOOGL,0001652044,StockholdersEquity,116241000000.0,2015-09-30,2015-10-29,10-Q,2015,Q3,CY2015Q3I
GOOGL,0001652044,Revenues,18675000000.0,2015-09-30,2016-11-03,10-Q,2016,Q3,CY2015Q3
GOOGL,0001652044,CostOfRevenue,7037000000.0,2015-09-30,2016-11-03,10-Q,2016,Q3,CY2015Q3
GOOGL,0001652044,OperatingIncomeLoss,4708000000.0,2015-09-30,2016-11-03,10-Q,2016,Q3,CY2015Q3
GOOGL,0001652044,NetIncomeLoss,3979000000.0,2015-09-30,2016-11-03,10-Q,2016,Q3,CY2015Q3
GOOGL,0001652044,CashAndCashEquivalentsAtCarryingValue,18068000000.0,2015-09-30,2016-11-03,10-Q,2016,Q3,CY2015Q3I
GOOGL,0001652044,NetCashProvidedByUsedInOperatingActivities,19963000000.0,2015-09-30,2016-11-03,10-Q,2016,Q3,
GOOGL,0001652044,NetCashProvidedByUsedInInvestingActivities,-18224000000.0,2015-09-30,2016-11-03,10-Q,2016,Q3,
GOOGL,0001652044,NetCashProvidedByUsedInFinancingActivities,-1666000000.0,2015-09-30,2016-11-03,10-Q,2016,Q3,
GOOGL,0001652044,PaymentsToAcquirePropertyPlantAndEquipment,2383000000.0,2015-09-30,2016-11-03,10-Q,2016,Q3,CY2015Q3
GOOGL,0001652044,ResearchAndDevelopmentExpense,3230000000.0,2015-09-30,2016-11-03,10-Q,2016,Q3,CY2015Q3
GOOGL,0001652044,LongTermDebt,3225000000.0,2015-12-31,2016-02-11,10-K,2015,FY,
GOOGL,0001652044,Assets,147461000000.0,2015-12-31,2017-02-03,10-K,2016,FY,CY2015Q4I
GOOGL,0001652044,AssetsCurrent,90114000000.0,2015-12-31,2017-02-03,10-K,2016,FY,CY2015Q4I
GOOGL,0001652044,Liabilities,27130000000.0,2015-12-31,2017-02-03,10-K,2016,FY,CY2015Q4I
GOOGL,0001652044,LiabilitiesCurrent,19310000000.0,2015-12-31,2017-02-03,10-K,2016,FY,CY2015Q4I
GOOGL,0001652044,Revenues,74989000000.0,2015-12-31,2018-02-06,10-K,2017,FY,CY2015
GOOGL,0001652044,CostOfRevenue,28164000000.0,2015-12-31,2018-02-06,10-K,2017,FY,CY2015
GOOGL,0001652044,OperatingIncomeLoss,19360000000.0,2015-12-31,2018-02-06,10-K,2017,FY,CY2015
GOOGL,0001652044,NetIncomeLoss,16348000000.0,2015-12-31,2018-02-06,10-K,2017,FY,CY2015
GOOGL,0001652044,NetCashProvidedByUsedInOperatingActivities,26572000000.0,2015-12-31,2018-02-06,10-K,2017,FY,CY2015
GOOGL,0001652044,NetCashProvidedByUsedInInvestingActivities,-23711000000.0,2015-12-31,2018-02-06,10-K,2017,FY,CY2015
GOOGL,0001652044,NetCashProvidedByUsedInFinancingActivities,-4225000000.0,2015-12-31,2018-02-06,10-K,2017,FY,CY2015
GOOGL,0001652044,PaymentsToAcquirePropertyPlantAndEquipment,9950000000.0,2015-12-31,2018-02-06,10-K,2017,FY,CY2015
GOOGL,0001652044,ResearchAndDevelopmentExpense,12282000000.0,2015-12-31,2018-02-06,10-K,2017,FY,CY2015
GOOGL,0001652044,CashAndCashEquivalentsAtCarryingValue,16549000000.0,2015-12-31,2019-02-05,10-K,2018,FY,CY2015Q4I
