ticker,cik,metric,value,date,filed_date,form,fiscal_year,fiscal_period,frame
META,0001326801,CashAndCashEquivalentsAtCarryingValue,633000000.0,2009-12-31,2013-02-01,10-K,2012,FY,CY2009Q4I
META,0001326801,Revenues,1974000000.0,2010-12-31,2013-02-01,10-K,2012,FY,CY2010
META,0001326801,CostOfRevenue,493000000.0,2010-12-31,2013-02-01,10-K,2012,FY,CY2010
META,0001326801,OperatingIncomeLoss,1032000000.0,2010-12-31,2013-02-01,10-K,2012,FY,CY2010
META,0001326801,NetIncomeLoss,606000000.0,2010-12-31,2013-02-01,10-K,2012,FY,CY2010
META,0001326801,EarningsPerShareBasic,0.34,2010-12-31,2013-02-01,10-K,2012,FY,CY2010
META,0001326801,EarningsPerShareDiluted,0.28,2010-12-31,2013-02-01,10-K,2012,FY,CY2010
META,0001326801,NetCashProvidedByUsedInOperatingActivities,698000000.0,2010-12-31,2013-02-01,10-K,2012,FY,CY2010
META,0001326801,NetCashProvidedByUsedInInvestingActivities,-324000000.0,2010-12-31,2013-02-01,10-K,2012,FY,CY2010
META,0001326801,NetCashProvidedByUsedInFinancingActivities,781000000.0,2010-12-31,2013-02-01,10-K,2012,FY,CY2010
META,0001326801,PaymentsToAcquirePropertyPlantAndEquipment,293000000.0,2010-12-31,2013-02-01,10-K,2012,FY,CY2010
META,0001326801,ResearchAndDevelopmentExpense,144000000.0,2010-12-31,2013-02-01,10-K,2012,FY,CY2010
META,0001326801,WeightedAverageNumberOfSharesOutstandingBasic,1107000000.0,2010-12-31,2013-02-01,10-K,2012,FY,CY2010
META,0001326801,WeightedAverageNumberOfDilutedSharesOutstanding,1414000000.0,2010-12-31,2013-02-01,10-K,2012,FY,CY2010
META,0001326801,CashAndCashEquivalentsAtCarryingValue,1785000000.0,2010-12-31,2014-01-31,10-K,2013,FY,CY2010Q4I
META,0001326801,Revenues,895000000.0,2011-06-30,2012-07-31,10-Q,2012,Q2,CY2011Q2
META,0001326801,CostOfRevenue,210000000.0,2011-06-30,2012-07-31,10-Q,2012,Q2,CY2011Q2
META,0001326801,OperatingIncomeLoss,407000000.0,2011-06-30,2012-07-31,10-Q,2012,Q2,CY2011Q2
META,0001326801,NetIncomeLoss,240000000.0,2011-06-30,2012-07-31,10-Q,2012,Q2,CY2011Q2
META,0001326801,EarningsPerShareBasic,0.12,2011-06-30,2012-07-31,10-Q,2012,Q2,CY2011Q2
META,0001326801,EarningsPerShareDiluted,0.11,2011-06-30,2012-07-31,10-Q,2012,Q2,CY2011Q2
META,0001326801,CashAndCashEquivalentsAtCarryingValue,1131000000.0,2011-06-30,2012-07-31,10-Q,2012,Q2,CY2011Q2I
META,0001326801,NetCashProvidedByUsedInOperatingActivities,474000000.0,2011-06-30,2012-07-31,10-Q,2012,Q2,
META,0001326801,NetCashProvidedByUsedInInvestingActivities,-2185000000.0,2011-06-30,2012-07-31,10-Q,2012,Q2,
META,0001326801,NetCashProvidedByUsedInFinancingActivities,1053000000.0,2011-06-30,2012-07-31,10-Q,2012,Q2,
META,0001326801,PaymentsToAcquirePropertyPlantAndEquipment,285000000.0,2011-06-30,2012-07-31,10-Q,2012,Q2,
META,0001326801,ResearchAndDevelopmentExpense,99000000.0,2011-06-30,2012-07-31,10-Q,2012,Q2,CY2011Q2
META,0001326801,WeightedAverageNumberOfSharesOutstandingBasic,1292000000.0,2011-06-30,2012-07-31,10-Q,2012,Q2,CY2011Q2
META,0001326801,WeightedAverageNumberOfDilutedSharesOutstanding,1510000000.0,2011-06-30,2012-07-31,10-Q,2012,Q2,CY2011Q2
META,0001326801,Revenues,954000000.0,2011-09-30,2012-10-24,10-Q,2012,Q3,CY2011Q3
META,0001326801,CostOfRevenue,236000000.0,2011-09-30,2012-10-24,10-Q,2012,Q3,CY2011Q3
META,0001326801,OperatingIncomeLoss,414000000.0,2011-09-30,2012-10-24,10-Q,2012,Q3,CY2011Q3
META,0001326801,NetIncomeLoss,227000000.0,2011-09-30,2012-10-24,10-Q,2012,Q3,CY2011Q3
META,0001326801,EarningsPerShareBasic,-0.11,2011-09-30,2012-10-24,10-Q,2012,Q3,CY2011Q3
META,0001326801,EarningsPerShareDiluted,-0.1,2011-09-30,2012-10-24,10-Q,2012,Q3,CY2011Q3
META,0001326801,CashAndCashEquivalentsAtCarryingValue,906000000.0,2011-09-30,2012-10-24,10-Q,2012,Q3,CY2011Q3I
META,0001326801,NetCashProvidedByUsedInOperatingActivities,1039000000.0,2011-09-30,2012-10-24,10-Q,2012,Q3,
META,0001326801,NetCashProvidedByUsedInInvestingActivities,-2980000000.0,2011-09-30,2012-10-24,10-Q,2012,Q3,
META,0001326801,NetCashProvidedByUsedInFinancingActivities,1067000000.0,2011-09-30,2012-10-24,10-Q,2012,Q3,
META,0001326801,PaymentsToAcquirePropertyPlantAndEquipment,421000000.0,2011-09-30,2012-10-24,10-Q,2012,Q3,
META,0001326801,ResearchAndDevelopmentExpense,108000000.0,2011-09-30,2012-10-24,10-Q,2012,Q3,CY2011Q3
META,0001326801,WeightedAverageNumberOfSharesOutstandingBasic,1316000000.0,2011-09-30,2012-10-24,10-Q,2012,Q3,CY2011Q3
META,0001326801,WeightedAverageNumberOfDilutedSharesOutstanding,1520000000.0,2011-09-30,2012-10-24,10-Q,2012,Q3,CY2011Q3
META,0001326801,Assets,6331000000.0,2011-12-31,2013-02-01,10-K,2012,FY,CY2011Q4I
META,0001326801,AssetsCurrent,4604000000.0,2011-12-31,2013-02-01,10-K,2012,FY,CY2011Q4I
META,0001326801,Cash,510000000.0,2011-12-31,2013-02-01,10-K,2012,FY,CY2011Q4I
META,0001326801,Liabilities,1432000000.0,2011-12-31,2013-02-01,10-K,2012,FY,CY2011Q4I
META,0001326801,LiabilitiesCurrent,899000000.0,2011-12-31,2013-02-01,10-K,2012,FY,CY2011Q4I
META,0001326801,StockholdersEquity,4899000000.0,2011-12-31,2013-02-01,10-K,2012,FY,CY2011Q4I
META,0001326801,Revenues,3711000000.0,2011-12-31,2014-01-31,10-K,2013,FY,CY2011
META,0001326801,CostOfRevenue,860000000.0,2011-12-31,2014-01-31,10-K,2013,FY,CY2011
META,0001326801,OperatingIncomeLoss,1756000000.0,2011-12-31,2014-01-31,10-K,2013,FY,CY2011
META,0001326801,NetIncomeLoss,1000000000.0,2011-12-31,2014-01-31,10-K,2013,FY,CY2011
