ticker,cik,metric,value,date,filed_date,form,fiscal_year,fiscal_period,frame
MSFT,0000789019,CashAndCashEquivalentsAtCarryingValue,6111000000.0,2007-06-30,2010-07-30,10-K,2010,FY,CY2007Q2I
MSFT,0000789019,Revenues,13762000000.0,2007-09-30,2010-07-30,10-K,2010,FY,CY2007Q3
MSFT,0000789019,GrossProfit,11087000000.0,2007-09-30,2010-07-30,10-K,2010,FY,CY2007Q3
MSFT,0000789019,NetIncomeLoss,4289000000.0,2007-09-30,2010-07-30,10-K,2010,FY,CY2007Q3
MSFT,0000789019,EarningsPerShareBasic,0.46,2007-09-30,2010-07-30,10-K,2010,FY,CY2007Q3
MSFT,0000789019,EarningsPerShareDiluted,0.45,2007-09-30,2010-07-30,10-K,2010,FY,CY2007Q3
MSFT,0000789019,Revenues,16367000000.0,2007-12-31,2010-07-30,10-K,2010,FY,CY2007Q4
MSFT,0000789019,GrossProfit,12824000000.0,2007-12-31,2010-07-30,10-K,2010,FY,CY2007Q4
MSFT,0000789019,NetIncomeLoss,4707000000.0,2007-12-31,2010-07-30,10-K,2010,FY,CY2007Q4
MSFT,0000789019,EarningsPerShareBasic,0.5,2007-12-31,2010-07-30,10-K,2010,FY,CY2007Q4
MSFT,0000789019,EarningsPerShareDiluted,0.5,2007-12-31,2010-07-30,10-K,2010,FY,CY2007Q4
MSFT,0000789019,Revenues,14454000000.0,2008-03-31,2010-07-30,10-K,2010,FY,CY2008Q1
MSFT,0000789019,GrossProfit,11940000000.0,2008-03-31,2010-07-30,10-K,2010,FY,CY2008Q1
MSFT,0000789019,NetIncomeLoss,4388000000.0,2008-03-31,2010-07-30,10-K,2010,FY,CY2008Q1
MSFT,0000789019,EarningsPerShareBasic,0.47,2008-03-31,2010-07-30,10-K,2010,FY,CY2008Q1
MSFT,0000789019,EarningsPerShareDiluted,0.47,2008-03-31,2010-07-30,10-K,2010,FY,CY2008Q1
MSFT,0000789019,Revenues,15837000000.0,2008-06-30,2010-07-30,10-K,2010,FY,CY2008Q2
MSFT,0000789019,CostOfRevenue,11598000000.0,2008-06-30,2010-07-30,10-K,2010,FY,CY2008
MSFT,0000789019,GrossProfit,12971000000.0,2008-06-30,2010-07-30,10-K,2010,FY,CY2008Q2
MSFT,0000789019,OperatingIncomeLoss,22271000000.0,2008-06-30,2010-07-30,10-K,2010,FY,CY2008
MSFT,0000789019,NetIncomeLoss,4297000000.0,2008-06-30,2010-07-30,10-K,2010,FY,CY2008Q2
MSFT,0000789019,EarningsPerShareBasic,0.46,2008-06-30,2010-07-30,10-K,2010,FY,CY2008Q2
MSFT,0000789019,EarningsPerShareDiluted,0.46,2008-06-30,2010-07-30,10-K,2010,FY,CY2008Q2
MSFT,0000789019,StockholdersEquity,36286000000.0,2008-06-30,2010-07-30,10-K,2010,FY,CY2008Q2I
MSFT,0000789019,NetCashProvidedByUsedInOperatingActivities,21612000000.0,2008-06-30,2010-07-30,10-K,2010,FY,CY2008
