ticker,cik,metric,value,date,filed_date,form,fiscal_year,fiscal_period,frame
NVDA,0001045810,CashAndCashEquivalentsAtCarryingValue,544414000.0,2007-01-28,2010-03-18,10-K,2010,FY,CY2006Q4I
NVDA,0001045810,StockholdersEquity,2006919000.0,2007-01-28,2010-03-18,10-K,2010,FY,CY2006Q4I
NVDA,0001045810,CashAndCashEquivalentsAtCarryingValue,726969000.0,2008-01-25,2009-08-20,10-Q,2009,Q2,CY2007Q4I
NVDA,0001045810,Revenues,4097860000.0,2008-01-27,2010-03-18,10-K,2010,FY,CY2007
NVDA,0001045810,CostOfRevenue,2228580000.0,2008-01-27,2010-03-18,10-K,2010,FY,CY2007
NVDA,0001045810,GrossProfit,1869280000.0,2008-01-27,2010-03-18,10-K,2010,FY,CY2007
NVDA,0001045810,OperatingIncomeLoss,836346000.0,2008-01-27,2010-03-18,10-K,2010,FY,CY2007
NVDA,0001045810,NetIncomeLoss,797645000.0,2008-01-27,2010-03-18,10-K,2010,FY,CY2007
NVDA,0001045810,EarningsPerShareBasic,1.45,2008-01-27,2010-03-18,10-K,2010,FY,CY2007
NVDA,0001045810,EarningsPerShareDiluted,1.31,2008-01-27,2010-03-18,10-K,2010,FY,CY2007
NVDA,0001045810,NetCashProvidedByUsedInOperatingActivities,1270196000.0,2008-01-27,2010-03-18,10-K,2010,FY,CY2007
NVDA,0001045810,NetCashProvidedByUsedInInvestingActivities,-761318000.0,2008-01-27,2010-03-18,10-K,2010,FY,CY2007
NVDA,0001045810,NetCashProvidedByUsedInFinancingActivities,-326323000.0,2008-01-27,2010-03-18,10-K,2010,FY,CY2007
NVDA,0001045810,ResearchAndDevelopmentExpense,691637000.0,2008-01-27,2010-03-18,10-K,2010,FY,CY2007
NVDA,0001045810,WeightedAverageNumberOfSharesOutstandingBasic,550108.0,2008-01-27,2010-03-18,10-K,2010,FY,CY2007
NVDA,0001045810,WeightedAverageNumberOfDilutedSharesOutstanding,606732.0,2008-01-27,2010-03-18,10-K,2010,FY,CY2007
NVDA,0001045810,CashAndCashEquivalentsAtCarryingValue,726969000.0,2008-01-27,2011-03-16,10-K,2010,FY,
NVDA,0001045810,StockholdersEquity,2617912000.0,2008-01-27,2011-03-16,10-K,2010,FY,CY2007Q4I
NVDA,0001045810,Revenues,892676000.0,2008-07-27,2009-08-20,10-Q,2009,Q2,CY2008Q2
NVDA,0001045810,CostOfRevenue,742759000.0,2008-07-27,2009-08-20,10-Q,2009,Q2,CY2008Q2
NVDA,0001045810,GrossProfit,149917000.0,2008-07-27,2009-08-20,10-Q,2009,Q2,CY2008Q2
NVDA,0001045810,OperatingIncomeLoss,-155392000.0,2008-07-27,2009-08-20,10-Q,2009,Q2,CY2008Q2
NVDA,0001045810,NetIncomeLoss,-120929000.0,2008-07-27,2009-08-20,10-Q,2009,Q2,CY2008Q2
NVDA,0001045810,EarningsPerShareBasic,-0.22,2008-07-27,2009-08-20,10-Q,2009,Q2,CY2008Q2
NVDA,0001045810,EarningsPerShareDiluted,-0.22,2008-07-27,2009-08-20,10-Q,2009,Q2,CY2008Q2
NVDA,0001045810,CashAndCashEquivalentsAtCarryingValue,719143000.0,2008-07-27,2009-08-20,10-Q,2009,Q2,CY2008Q2I
NVDA,0001045810,NetCashProvidedByUsedInOperatingActivities,226202000.0,2008-07-27,2009-08-20,10-Q,2009,Q2,
NVDA,0001045810,NetCashProvidedByUsedInInvestingActivities,-150113000.0,2008-07-27,2009-08-20,10-Q,2009,Q2,
NVDA,0001045810,NetCashProvidedByUsedInFinancingActivities,-83915000.0,2008-07-27,2009-08-20,10-Q,2009,Q2,
NVDA,0001045810,ResearchAndDevelopmentExpense,212910000.0,2008-07-27,2009-08-20,10-Q,2009,Q2,CY2008Q2
NVDA,0001045810,WeightedAverageNumberOfSharesOutstandingBasic,555417000.0,2008-07-27,2009-08-20,10-Q,2009,Q2,CY2008Q2
NVDA,0001045810,WeightedAverageNumberOfDilutedSharesOutstanding,555417000.0,2008-07-27,2009-08-20,10-Q,2009,Q2,CY2008Q2
NVDA,0001045810,Revenues,897655000.0,2008-10-26,2009-11-19,10-Q,2009,Q3,CY2008Q3
NVDA,0001045810,CostOfRevenue,529812000.0,2008-10-26,2009-11-19,10-Q,2009,Q3,CY2008Q3
NVDA,0001045810,GrossProfit,367843000.0,2008-10-26,2009-11-19,10-Q,2009,Q3,CY2008Q3
NVDA,0001045810,OperatingIncomeLoss,56796000.0,2008-10-26,2009-11-19,10-Q,2009,Q3,CY2008Q3
NVDA,0001045810,NetIncomeLoss,61748000.0,2008-10-26,2009-11-19,10-Q,2009,Q3,CY2008Q3
NVDA,0001045810,EarningsPerShareBasic,0.11,2008-10-26,2009-11-19,10-Q,2009,Q3,CY2008Q3
NVDA,0001045810,EarningsPerShareDiluted,0.11,2008-10-26,2009-11-19,10-Q,2009,Q3,CY2008Q3
NVDA,0001045810,CashAndCashEquivalentsAtCarryingValue,461253000.0,2008-10-26,2009-11-19,10-Q,2009,Q3,CY2008Q3I
NVDA,0001045810,NetCashProvidedByUsedInOperatingActivities,269205000.0,2008-10-26,2009-11-19,10-Q,2009,Q3,
NVDA,0001045810,NetCashProvidedByUsedInInvestingActivities,-178015000.0,2008-10-26,2009-11-19,10-Q,2009,Q3,
NVDA,0001045810,NetCashProvidedByUsedInFinancingActivities,-356906000.0,2008-10-26,2009-11-19,10-Q,2009,Q3,
NVDA,0001045810,ResearchAndDevelopmentExpense,212360000.0,2008-10-26,2009-11-19,10-Q,2009,Q3,CY2008Q3
NVDA,0001045810,WeightedAverageNumberOfSharesOutstandingBasic,543807000.0,2008-10-26,2009-11-19,10-Q,2009,Q3,CY2008Q3
NVDA,0001045810,WeightedAverageNumberOfDilutedSharesOutstanding,564536000.0,2008-10-26,2009-11-19,10-Q,2009,Q3,CY2008Q3
NVDA,0001045810,Assets,3350727000.0,2009-01-25,2010-03-18,10-K,2010,FY,CY2008Q4I
