ticker,cik,metric,value,date,filed_date,form,fiscal_year,fiscal_period,frame
PLTR,0001321655,StockholdersEquity,-1501562000.0,2017-12-31,2021-02-26,10-K,2020,FY,CY2017Q4I
PLTR,0001321655,RevenueFromContractWithCustomerExcludingAssessedTax,595409000.0,2018-12-31,2021-02-26,10-K,2020,FY,CY2018
PLTR,0001321655,CostOfRevenue,165401000.0,2018-12-31,2021-02-26,10-K,2020,FY,CY2018
PLTR,0001321655,GrossProfit,430008000.0,2018-12-31,2021-02-26,10-K,2020,FY,CY2018
PLTR,0001321655,OperatingIncomeLoss,-623440000.0,2018-12-31,2021-02-26,10-K,2020,FY,CY2018
PLTR,0001321655,NetIncomeLoss,-580027000.0,2018-12-31,2021-02-26,10-K,2020,FY,CY2018
PLTR,0001321655,EarningsPerShareBasic,-1.11,2018-12-31,2021-02-26,10-K,2020,FY,CY2018
PLTR,0001321655,EarningsPerShareDiluted,-1.17,2018-12-31,2021-02-26,10-K,2020,FY,CY2018
PLTR,0001321655,CashAndCashEquivalentsAtCarryingValue,1116342000.0,2018-12-31,2021-02-26,10-K,2020,FY,CY2018Q4I
PLTR,0001321655,NetCashProvidedByUsedInOperatingActivities,-39012000.0,2018-12-31,2021-02-26,10-K,2020,FY,CY2018
PLTR,0001321655,NetCashProvidedByUsedInInvestingActivities,-6784000.0,2018-12-31,2021-02-26,10-K,2020,FY,CY2018
PLTR,0001321655,NetCashProvidedByUsedInFinancingActivities,46154000.0,2018-12-31,2021-02-26,10-K,2020,FY,CY2018
PLTR,0001321655,PaymentsToAcquirePropertyPlantAndEquipment,13004000.0,2018-12-31,2021-02-26,10-K,2020,FY,CY2018
PLTR,0001321655,ResearchAndDevelopmentExpense,285451000.0,2018-12-31,2021-02-26,10-K,2020,FY,CY2018
PLTR,0001321655,WeightedAverageNumberOfSharesOutstandingBasic,537280394.0,2018-12-31,2021-02-26,10-K,2020,FY,CY2018
PLTR,0001321655,WeightedAverageNumberOfDilutedSharesOutstanding,544014393.0,2018-12-31,2021-02-26,10-K,2020,FY,CY2018
PLTR,0001321655,StockholdersEquity,-1751428000.0,2018-12-31,2022-02-24,10-K,2021,FY,CY2018Q4I
PLTR,0001321655,StockholdersEquity,-1800409000.0,2019-06-30,2020-11-13,10-Q,2020,Q3,CY2019Q2I
PLTR,0001321655,CostOfRevenue,65073000.0,2019-09-30,2020-11-13,10-Q,2020,Q3,CY2019Q3
PLTR,0001321655,GrossProfit,125468000.0,2019-09-30,2020-11-13,10-Q,2020,Q3,CY2019Q3
PLTR,0001321655,OperatingIncomeLoss,-144140000.0,2019-09-30,2020-11-13,10-Q,2020,Q3,CY2019Q3
PLTR,0001321655,NetIncomeLoss,-139860000.0,2019-09-30,2020-11-13,10-Q,2020,Q3,CY2019Q3
PLTR,0001321655,EarningsPerShareBasic,-0.24,2019-09-30,2020-11-13,10-Q,2020,Q3,CY2019Q3
PLTR,0001321655,EarningsPerShareDiluted,-0.24,2019-09-30,2020-11-13,10-Q,2020,Q3,CY2019Q3
