ticker,cik,metric,value,date,filed_date,form,fiscal_year,fiscal_period,frame
SNOW,0001640147,StockholdersEquity,-131892000.0,2018-01-31,2021-03-31,10-K,2021,FY,CY2017Q4I
SNOW,0001640147,RevenueFromContractWithCustomerExcludingAssessedTax,96666000.0,2019-01-31,2021-03-31,10-K,2021,FY,CY2018
SNOW,0001640147,GrossProfit,44913000.0,2019-01-31,2021-03-31,10-K,2021,FY,CY2018
SNOW,0001640147,OperatingIncomeLoss,-185465000.0,2019-01-31,2021-03-31,10-K,2021,FY,CY2018
SNOW,0001640147,NetIncomeLoss,-178028000.0,2019-01-31,2021-03-31,10-K,2021,FY,CY2018
SNOW,0001640147,CashAndCashEquivalentsAtCarryingValue,116541000.0,2019-01-31,2021-03-31,10-K,2021,FY,CY2018Q4I
SNOW,0001640147,NetCashProvidedByUsedInOperatingActivities,-143982000.0,2019-01-31,2021-03-31,10-K,2021,FY,CY2018
SNOW,0001640147,NetCashProvidedByUsedInInvestingActivities,-362642000.0,2019-01-31,2021-03-31,10-K,2021,FY,CY2018
SNOW,0001640147,NetCashProvidedByUsedInFinancingActivities,413601000.0,2019-01-31,2021-03-31,10-K,2021,FY,CY2018
SNOW,0001640147,PaymentsToAcquirePropertyPlantAndEquipment,2058000.0,2019-01-31,2021-03-31,10-K,2021,FY,CY2018
SNOW,0001640147,ResearchAndDevelopmentExpense,68681000.0,2019-01-31,2021-03-31,10-K,2021,FY,CY2018
SNOW,0001640147,StockholdersEquity,-312467000.0,2019-01-31,2022-03-30,10-K,2022,FY,CY2018Q4I
SNOW,0001640147,StockholdersEquity,-445984000.0,2019-07-31,2020-12-03,10-Q,2021,Q3,CY2019Q2I
SNOW,0001640147,RevenueFromContractWithCustomerExcludingAssessedTax,73012000.0,2019-10-31,2020-12-03,10-Q,2021,Q3,CY2019Q3
SNOW,0001640147,GrossProfit,43523000.0,2019-10-31,2020-12-03,10-Q,2021,Q3,CY2019Q3
SNOW,0001640147,OperatingIncomeLoss,-90132000.0,2019-10-31,2020-12-03,10-Q,2021,Q3,CY2019Q3
SNOW,0001640147,NetIncomeLoss,-88057000.0,2019-10-31,2020-12-03,10-Q,2021,Q3,CY2019Q3
SNOW,0001640147,CashAndCashEquivalentsAtCarryingValue,179138000.0,2019-10-31,2020-12-03,10-Q,2021,Q3,CY2019Q3I
SNOW,0001640147,StockholdersEquity,-489438000.0,2019-10-31,2020-12-03,10-Q,2021,Q3,CY2019Q3I
SNOW,0001640147,NetCashProvidedByUsedInOperatingActivities,-133766000.0,2019-10-31,2020-12-03,10-Q,2021,Q3,
SNOW,0001640147,NetCashProvidedByUsedInInvestingActivities,154145000.0,2019-10-31,2020-12-03,10-Q,2021,Q3,
SNOW,0001640147,NetCashProvidedByUsedInFinancingActivities,50811000.0,2019-10-31,2020-12-03,10-Q,2021,Q3,
SNOW,0001640147,PaymentsToAcquirePropertyPlantAndEquipment,14504000.0,2019-10-31,2020-12-03,10-Q,2021,Q3,
SNOW,0001640147,ResearchAndDevelopmentExpense,27669000.0,2019-10-31,2020-12-03,10-Q,2021,Q3,CY2019Q3
SNOW,0001640147,Assets,1012720000.0,2020-01-31,2021-03-31,10-K,2021,FY,CY2019Q4I
SNOW,0001640147,AssetsCurrent,665194000.0,2020-01-31,2021-03-31,10-K,2021,FY,CY2019Q4I
SNOW,0001640147,Liabilities,621003000.0,2020-01-31,2021-03-31,10-K,2021,FY,CY2019Q4I
SNOW,0001640147,LiabilitiesCurrent,416455000.0,2020-01-31,2021-03-31,10-K,2021,FY,CY2019Q4I
SNOW,0001640147,RevenueFromContractWithCustomerExcludingAssessedTax,264748000.0,2020-01-31,2022-03-30,10-K,2022,FY,CY2019
SNOW,0001640147,GrossProfit,148191000.0,2020-01-31,2022-03-30,10-K,2022,FY,CY2019
SNOW,0001640147,OperatingIncomeLoss,-358088000.0,2020-01-31,2022-03-30,10-K,2022,FY,CY2019
SNOW,0001640147,NetIncomeLoss,-348535000.0,2020-01-31,2022-03-30,10-K,2022,FY,CY2019
SNOW,0001640147,EarningsPerShareBasic,-7.77,2020-01-31,2022-03-30,10-K,2022,FY,CY2019
SNOW,0001640147,EarningsPerShareDiluted,-7.77,2020-01-31,2022-03-30,10-K,2022,FY,CY2019
SNOW,0001640147,CashAndCashEquivalentsAtCarryingValue,127206000.0,2020-01-31,2022-03-30,10-K,2022,FY,CY2019Q4I
SNOW,0001640147,StockholdersEquity,-544757000.0,2020-01-31,2022-03-30,10-K,2022,FY,CY2019Q4I
SNOW,0001640147,NetCashProvidedByUsedInOperatingActivities,-176558000.0,2020-01-31,2022-03-30,10-K,2022,FY,CY2019
SNOW,0001640147,NetCashProvidedByUsedInInvestingActivities,138495000.0,2020-01-31,2022-03-30,10-K,2022,FY,CY2019
SNOW,0001640147,NetCashProvidedByUsedInFinancingActivities,57469000.0,2020-01-31,2022-03-30,10-K,2022,FY,CY2019
SNOW,0001640147,PaymentsToAcquirePropertyPlantAndEquipment,18583000.0,2020-01-31,2022-03-30,10-K,2022,FY,CY2019
SNOW,0001640147,ResearchAndDevelopmentExpense,105160000.0,2020-01-31,2022-03-30,10-K,2022,FY,CY2019
SNOW,0001640147,WeightedAverageNumberOfSharesOutstandingBasic,44847442.0,2020-01-31,2022-03-30,10-K,2022,FY,CY2019
SNOW,0001640147,WeightedAverageNumberOfDilutedSharesOutstanding,44847442.0,2020-01-31,2022-03-30,10-K,2022,FY,CY2019
SNOW,0001640147,RevenueFromContractWithCustomerExcludingAssessedTax,108815000.0,2020-04-30,2021-06-04,10-Q,2022,Q1,CY2020Q1
SNOW,0001640147,GrossProfit,66258000.0,2020-04-30,2021-06-04,10-Q,2022,Q1,CY2020Q1
SNOW,0001640147,OperatingIncomeLoss,-96403000.0,2020-04-30,2021-06-04,10-Q,2022,Q1,CY2020Q1
SNOW,0001640147,NetIncomeLoss,-93644000.0,2020-04-30,2021-06-04,10-Q,2022,Q1,CY2020Q1
SNOW,0001640147,CashAndCashEquivalentsAtCarryingValue,437560000.0,2020-04-30,2021-06-04,10-Q,2022,Q1,CY2020Q1I
SNOW,0001640147,NetCashProvidedByUsedInOperatingActivities,-6592000.0,2020-04-30,2021-06-04,10-Q,2022,Q1,CY2020Q1
SNOW,0001640147,NetCashProvidedByUsedInInvestingActivities,-172004000.0,2020-04-30,2021-06-04,10-Q,2022,Q1,CY2020Q1
SNOW,0001640147,NetCashProvidedByUsedInFinancingActivities,489469000.0,2020-04-30,2021-06-04,10-Q,2022,Q1,CY2020Q1
SNOW,0001640147,PaymentsToAcquirePropertyPlantAndEquipment,2033000.0,2020-04-30,2021-06-04,10-Q,2022,Q1,CY2020Q1
SNOW,0001640147,ResearchAndDevelopmentExpense,33278000.0,2020-04-30,2021-06-04,10-Q,2022,Q1,CY2020Q1
SNOW,0001640147,StockholdersEquity,-604046000.0,2020-04-30,2021-09-02,10-Q,2022,Q2,CY2020Q1I
SNOW,0001640147,RevenueFromContractWithCustomerExcludingAssessedTax,133145000.0,2020-07-31,2021-09-02,10-Q,2022,Q2,CY2020Q2
SNOW,0001640147,GrossProfit,82699000.0,2020-07-31,2021-09-02,10-Q,2022,Q2,CY2020Q2
